Czas [ms].1,Ciś. pow. za turb.[Pa],Czas [ms].2,Ciśnienie atmosferyczne[hPa],Czas [ms].11,ECT - wyjście z sil.[°C],Czas [ms].25,MAF[kg/h],Czas [ms].26,Moc[kW],Czas [ms].27,Moment obrotowy[Nm],Czas [ms].29,Obroty[obr/min],Czas [ms].46,Temp. oleju w misce[°C],Czas [ms].48,Temp. otoczenia[°C],Czas [ms].50,Temp. pal. na wyjściu sil.[°C],Czas [ms].55,Temp. powietrza za turb.[°C],Czas [ms].56,Temp. spalin 1/6[°C],Czas [ms].57,Temp. spalin 2/6[°C],Czas [ms].58,Temp. spalin 3/6[°C],Czas [ms].59,Temp. spalin 4/6[°C],Czas [ms].64,Wilgotność względna[%],Czas [ms].72,Zużycie paliwa średnie[g/s]
100.0,-114.0,59.0,1003.0,150.0,45.40000153,101.0,0.0,61.0,0.0,0,0.100000001,0,0,109.0,46.0,60.0,15.89999962,59.0,27.29999924,109.0,29.0,0.0,66.0,0.0,63.0,0.0,59.0,1.0,60.0,59.0,40.0,35.0,0.0
301.0,-105.0,259.0,1003.0,350.0,45.40000153,301.0,0.0,261.0,0.0,20,0.100000001,20,0,310.0,46.0,259.0,15.89999962,260.0,27.29999924,309.0,28.0,200.0,65.0,200.0,62.0,201.0,59.0,201.0,60.0,259.0,40.0,235.0,0.0
502.0,-68.0,459.0,1003.0,551.0,45.40000153,503.0,1.299999952,462.0,0.0,40,0.100000001,40,0,510.0,46.0,460.0,15.89999962,460.0,27.29999924,510.0,28.0,401.0,66.0,401.0,63.0,401.0,61.0,401.0,60.0,459.0,40.0,436.0,0.0
701.0,-68.0,659.0,1003.0,751.0,45.40000153,702.0,1.299999952,662.0,0.0,60,0.100000001,60,0,710.0,46.0,660.0,15.89999962,660.0,27.29999924,710.0,28.0,601.0,66.0,601.0,63.0,601.0,61.0,602.0,60.0,661.0,40.0,636.0,0.0
902.0,-77.0,861.0,1003.0,951.0,45.40000153,902.0,8.100000381,862.0,0.0,80,0.100000001,80,0,910.0,46.0,861.0,15.89999962,862.0,27.29999924,911.0,29.0,801.0,66.0,801.0,62.0,802.0,59.0,802.0,60.0,861.0,40.0,836.0,0.0
1102.0,-87.0,1060.0,1003.0,1152.0,45.40000153,1102.0,10.69999981,1062.0,0.0,100,0.100000001,100,0,1111.0,45.0,1061.0,15.89999962,1061.0,27.29999924,1111.0,28.0,1001.0,66.0,1002.0,62.0,1002.0,59.0,1002.0,60.0,1060.0,40.0,1036.0,0.0
1302.0,-77.0,1260.0,1003.0,1353.0,45.40000153,1303.0,13.39999962,1263.0,0.0,120,0.100000001,120,0,1311.0,46.0,1261.0,15.89999962,1261.0,27.29999924,1311.0,29.0,1202.0,66.0,1202.0,62.0,1202.0,59.0,1203.0,60.0,1261.0,40.0,1236.0,0.0011
1502.0,-59.0,1461.0,1003.0,1552.0,45.40000153,1503.0,17.39999962,1463.0,0.100000001,140,0.100000001,140,0,1512.0,46.0,1461.0,15.89999962,1461.0,27.29999924,1511.0,29.0,1402.0,65.0,1402.0,62.0,1403.0,59.0,1403.0,60.0,1461.0,40.0,1437.0,0.0053
1703.0,-77.0,1661.0,1003.0,1753.0,45.29999924,1703.0,27.0,1663.0,0.100000001,160,0.100000001,160,0,1712.0,46.0,1661.0,15.89999962,1662.0,27.29999924,1712.0,29.0,1602.0,66.0,1603.0,62.0,1603.0,59.0,1603.0,60.0,1661.0,40.0,1637.0,0.011
1903.0,78.0,1861.0,1003.0,1953.0,45.29999924,1904.0,41.29999924,1863.0,0.100000001,180,0.100000001,180,1,1912.0,46.0,1862.0,15.89999962,1862.0,27.29999924,1912.0,29.0,1803.0,65.0,1803.0,62.0,1803.0,59.0,1803.0,60.0,1862.0,40.0,1837.0,0.015
