Time,Ciś. pow. za turb.[Pa],Ciśnienie atmosferyczne[hPa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. otoczenia[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Temp. spalin 1/6[°C],Temp. spalin 2/6[°C],Temp. spalin 3/6[°C],Temp. spalin 4/6[°C],Wilgotność względna[%],Zużycie paliwa średnie[g/s]
100.0,-114.0,1003.0,45.40000153,0.0,0.0,0.100000001,0,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.0
301.0,-105.0,1003.0,45.40000153,0.0,0.0,0.100000001,2,46.0,15.89999962,27.29999924,28.0,66.0,63.0,61.0,60.0,40.0,0.0
502.0,-68.0,1003.0,45.40000153,1.299999952,0.0,0.300000012,3,46.0,15.89999962,27.29999924,28.0,66.0,63.0,61.0,60.0,40.0,0.0
701.0,-68.0,1003.0,45.40000153,1.299999952,0.0,0.699999988,54,46.0,15.89999962,27.29999924,28.0,66.0,62.0,61.0,60.0,40.0,0.0
902.0,-77.0,1003.0,45.40000153,8.100000381,0.0,0.899999976,144,46.0,15.89999962,27.29999924,29.0,66.0,62.0,59.0,60.0,40.0,0.0
1102.0,-87.0,1003.0,45.40000153,10.69999981,0.0,1.100000024,161,45.0,15.89999962,27.29999924,28.0,66.0,62.0,59.0,60.0,40.0,0.0
1302.0,-77.0,1003.0,45.40000153,13.39999962,0.0,1.100000024,313,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.0011
1502.0,-59.0,1003.0,45.40000153,17.39999962,0.100000001,1.200000048,718,46.0,15.89999962,27.29999924,29.0,66.0,62.0,59.0,60.0,40.0,0.0053
1703.0,-77.0,1003.0,45.29999924,27.0,0.100000001,1.299999952,933,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.011
1903.0,78.0,1003.0,45.29999924,41.29999924,0.100000001,1.5,863,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.015
