Time,Ciś. pow. za turb.[Pa],Ciśnienie atmosferyczne[hPa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. otoczenia[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Temp. spalin 1/6[°C],Temp. spalin 2/6[°C],Temp. spalin 3/6[°C],Temp. spalin 4/6[°C],Wilgotność względna[%],Zużycie paliwa średnie[g/s]
1970-01-01 00:00:00.137,-50.0,990.0,68.0999984741211,0.0,0.0,0.600000023841858,1,77.0,21.6000003814697,39.9000015258789,41.0,197.0,219.0,223.0,204.0,61.0,0.0
1970-01-01 00:00:00.337,-59.0,990.0,68.0999984741211,1.0,0.0,0.600000023841858,3,77.0,21.6000003814697,39.9000015258789,41.0,197.0,219.0,223.0,204.0,61.0,0.0
1970-01-01 00:00:00.539,-41.0,991.0,68.0999984741211,4.19999980926514,0.0,1.0,16,77.0,21.6000003814697,39.7999992370605,41.0,195.0,219.0,224.0,204.0,61.0,0.0
1970-01-01 00:00:10.954,1204.0,991.0,68.0999984741211,102.599998474121,0.200000002980232,1.89999997615814,801,77.0,21.6000003814697,40.2999992370605,40.0,180.0,200.0,204.0,193.0,61.0,0.132699996232986
1970-01-01 00:00:11.155,1286.0,990.0,68.0999984741211,101.099998474121,0.200000002980232,1.89999997615814,801,77.0,21.6000003814697,40.4000015258789,40.0,180.0,200.0,203.0,192.0,61.0,0.134499996900558
1970-01-01 00:00:11.356,1249.0,990.0,68.0999984741211,100.0,0.200000002980232,1.89999997615814,800,77.0,21.6000003814697,40.4000015258789,40.0,180.0,199.0,202.0,192.0,61.0,0.135299995541573
1970-01-01 00:00:11.555,1249.0,990.0,68.0999984741211,100.0,0.200000002980232,1.89999997615814,800,77.0,21.6000003814697,40.4000015258789,39.0,179.0,199.0,202.0,190.0,61.0,0.13629999756813
1970-01-01 00:00:11.755,1222.0,990.0,68.0999984741211,98.8000030517578,0.200000002980232,1.89999997615814,801,77.0,21.6000003814697,40.4000015258789,39.0,178.0,199.0,201.0,190.0,61.0,0.137899994850159
1970-01-01 00:00:11.955,1167.0,991.0,68.0999984741211,100.0,0.200000002980232,1.89999997615814,801,77.0,21.6000003814697,40.4000015258789,40.0,178.0,198.0,201.0,190.0,61.0,0.139200001955032
1970-01-01 00:00:12.156,1149.0,990.0,68.0999984741211,102.400001525879,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.4000015258789,39.0,177.0,198.0,200.0,190.0,61.0,0.144199997186661
1970-01-01 00:00:12.356,1176.0,990.0,68.1999969482422,101.900001525879,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.4000015258789,39.0,178.0,198.0,200.0,190.0,61.0,0.146999999880791
1970-01-01 00:00:12.556,1194.0,990.0,68.1999969482422,99.4000015258789,0.200000002980232,1.79999995231628,800,77.0,21.6000003814697,40.4000015258789,39.0,177.0,197.0,200.0,189.0,61.0,0.147300004959106
1970-01-01 00:00:12.757,1231.0,990.0,68.1999969482422,99.1999969482422,0.200000002980232,1.89999997615814,800,77.0,21.6000003814697,40.5,39.0,177.0,197.0,199.0,189.0,61.0,0.149299994111061
1970-01-01 00:00:12.957,1231.0,991.0,68.1999969482422,99.1999969482422,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.5,40.0,176.0,196.0,198.0,189.0,61.0,0.150000005960464
1970-01-01 00:00:13.157,1149.0,990.0,68.1999969482422,101.699996948242,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.5,40.0,177.0,196.0,198.0,189.0,61.0,0.152700006961823
1970-01-01 00:00:13.357,1130.0,990.0,68.1999969482422,101.099998474121,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.5999984741211,39.0,176.0,196.0,197.0,188.0,61.0,0.154100000858307
1970-01-01 00:00:13.559,1204.0,990.0,68.1999969482422,98.9000015258789,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.5999984741211,39.0,176.0,195.0,197.0,187.0,61.0,0.157000005245209
1970-01-01 00:00:13.758,1213.0,990.0,68.3000030517578,98.5,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.5999984741211,39.0,175.0,195.0,196.0,187.0,61.0,0.160999998450279
1970-01-01 00:00:13.958,1222.0,990.0,68.3000030517578,98.0,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.7000007629395,39.0,175.0,194.0,196.0,187.0,61.0,0.164900004863739
1970-01-01 00:00:14.160,1167.0,990.0,68.3000030517578,100.599998474121,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.7000007629395,39.0,175.0,194.0,196.0,187.0,61.0,0.167300000786781
1970-01-01 00:00:14.359,1167.0,990.0,68.3000030517578,100.599998474121,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.7000007629395,39.0,174.0,193.0,195.0,187.0,61.0,0.165900006890297
1970-01-01 00:00:14.559,1213.0,990.0,68.4000015258789,102.199996948242,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.7000007629395,39.0,173.0,192.0,195.0,185.0,61.0,0.16609999537468
1970-01-01 00:00:14.760,1240.0,991.0,68.4000015258789,101.0,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.7000007629395,39.0,173.0,192.0,194.0,185.0,61.0,0.165900006890297
1970-01-01 00:00:14.962,1167.0,990.0,68.4000015258789,100.0,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.7000007629395,39.0,173.0,192.0,194.0,185.0,61.0,0.166999995708466
1970-01-01 00:00:15.160,1185.0,990.0,68.4000015258789,98.9000015258789,0.200000002980232,1.89999997615814,800,78.0,21.6000003814697,40.7999992370605,39.0,173.0,190.0,194.0,185.0,61.0,0.170699998736382
1970-01-01 00:00:15.362,1167.0,991.0,68.4000015258789,98.9000015258789,0.200000002980232,1.89999997615814,801,78.0,21.6000003814697,40.7999992370605,39.0,173.0,190.0,192.0,183.0,61.0,0.172199994325638
1970-01-01 00:00:15.562,1176.0,991.0,68.5,101.699996948242,0.200000002980232,1.89999997615814,801,79.0,21.6000003814697,40.7999992370605,39.0,172.0,190.0,191.0,499.4755319148936,61.0,0.171800002455711
1970-01-01 00:00:15.762,1158.0,991.0,68.5,101.199996948242,0.200000002980232,1.89999997615814,800,79.0,21.6000003814697,40.9000015258789,39.0,172.0,190.0,191.0,182.0,61.0,0.170900002121925
1970-01-01 00:00:15.962,1222.0,990.0,68.5,99.6999969482422,0.200000002980232,1.89999997615814,800,79.0,21.6000003814697,40.9000015258789,39.0,172.0,190.0,191.0,182.0,61.0,0.17059999704361
1970-01-01 00:00:16.162,1204.0,991.0,68.5,99.0999984741211,0.200000002980232,1.89999997615814,800,79.0,21.6000003814697,41.0,39.0,171.0,189.0,190.0,182.0,61.0,0.170000001788139
1970-01-01 00:00:16.362,1204.0,990.0,68.5,99.3000030517578,0.200000002980232,1.89999997615814,801,79.0,21.6000003814697,41.0,39.0,171.0,189.0,190.0,182.0,61.0,0.169400006532669
1970-01-01 00:00:16.562,1176.0,990.0,68.5,101.099998474121,0.200000002980232,1.89999997615814,801,79.0,21.6000003814697,41.0,39.0,171.0,189.0,190.0,182.0,61.0,0.171499997377396
1970-01-01 00:00:16.763,1204.0,990.0,68.5999984741211,102.0,0.200000002980232,1.79999995231628,800,80.0,21.6000003814697,41.0,39.0,170.0,188.0,189.0,182.0,61.0,0.174400001764297
1970-01-01 00:00:16.964,1204.0,990.0,68.5999984741211,101.400001525879,0.200000002980232,1.89999997615814,801,80.0,21.6000003814697,41.0,39.0,170.0,187.0,188.0,181.0,61.0,0.176699995994568
1970-01-01 00:00:17.163,1204.0,990.0,68.5999984741211,101.400001525879,0.200000002980232,1.89999997615814,801,80.0,21.6000003814697,41.0999984741211,39.0,170.0,187.0,188.0,181.0,61.0,0.17790000140667
1970-01-01 00:00:17.364,1158.0,990.0,68.5999984741211,101.099998474121,0.200000002980232,1.89999997615814,800,80.0,21.6000003814697,41.0999984741211,39.0,170.0,187.0,188.0,181.0,61.0,0.176100000739098
1970-01-01 00:00:17.564,1176.0,990.0,68.5999984741211,100.5,0.200000002980232,1.89999997615814,800,80.0,21.6000003814697,41.0999984741211,39.0,169.0,186.0,188.0,181.0,61.0,0.177499994635582
