Time,Ciś. pow. za turb.[Pa],Ciśnienie atmosferyczne[hPa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. otoczenia[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Temp. spalin 1/6[°C],Temp. spalin 2/6[°C],Temp. spalin 3/6[°C],Temp. spalin 4/6[°C],Wilgotność względna[%],Zużycie paliwa średnie[g/s]
100,-114,1003,45.40000153,0,0,0.100000001,0,46,15.89999962,27.29999924,29,65,62,59,60,40,0
301,-105,1003,45.40000153,0,0,0.100000001,2,46,15.89999962,27.29999924,28,66,63,61,60,40,0
502,-68,1003,45.40000153,1.299999952,0,0.300000012,3,46,15.89999962,27.29999924,28,66,63,61,60,40,0
701,-68,1003,45.40000153,1.299999952,0,0.699999988,54,46,15.89999962,27.29999924,28,66,62,61,60,40,0
902,-77,1003,45.40000153,8.100000381,0,0.899999976,144,46,15.89999962,27.29999924,29,66,62,59,60,40,0
1102,-87,1003,45.40000153,10.69999981,0,1.100000024,161,45,15.89999962,27.29999924,28,66,62,59,60,40,0
1302,-77,1003,45.40000153,13.39999962,0,1.100000024,313,46,15.89999962,27.29999924,29,65,62,59,60,40,0.0011
1502,-59,1003,45.40000153,17.39999962,0.100000001,1.200000048,718,46,15.89999962,27.29999924,29,66,62,59,60,40,0.0053
1703,-77,1003,45.29999924,27,0.100000001,1.299999952,933,46,15.89999962,27.29999924,29,65,62,59,60,40,0.011
1903,78,1003,45.29999924,41.29999924,0.100000001,1.5,863,46,15.89999962,27.29999924,29,65,62,59,60,40,0.015
2105,398,1003,45.29999924,71.30000305,0.100000001,1.600000024,822,46,15.89999962,27.29999924,29,65,62,59,60,40,0.0189
2305,426,1003,45.29999924,81.59999847,0.100000001,1.700000048,797,46,15.89999962,27.29999924,29,66,63,61,60,40,0.0241
2504,408,1003,45.29999924,89.59999847,0.100000001,1.600000024,782,46,15.89999962,27.29999924,28,67,64,61,60,40,0.0287
2706,417,1003,45.29999924,95.09999847,0.100000001,1.5,784,46,15.89999962,27.29999924,28,67,64,61,60,40,0.0348
2905,444,1003,45.29999924,96.90000153,0.100000001,1.5,794,46,15.89999962,27.29999924,28,67,64,61,61,40,0.0385
3105,417,1003,45.29999924,100.1999969,0.100000001,1.5,805,46,15.89999962,27.29999924,28,67,65,61,61,40,0.043699998
3306,426,1003,45.40000153,105.1999969,0.100000001,1.5,810,45,15.89999962,27.29999924,28,68,65,62,62,40,0.047699999
3507,426,1003,45.40000153,105.1999969,0.100000001,1.5,808,45,15.89999962,27.29999924,28,68,65,62,62,40,0.053300001
3707,563,1003,45.40000153,106.9000015,0.100000001,1.5,804,46,15.89999962,27.29999924,29,68,66,63,63,40,0.058600001
3906,563,1003,45.40000153,106.9000015,0.100000001,1.5,800,46,15.89999962,27.29999924,28,68,67,63,63,40,0.063900001
