Time,Ciś. pow. za turb.[Pa],Ciśnienie atmosferyczne[hPa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Temp. oleju w misce[°C],Temp. otoczenia[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Temp. spalin 1/6[°C],Temp. spalin 2/6[°C],Temp. spalin 3/6[°C],Temp. spalin 4/6[°C],Wilgotność względna[%],Zużycie paliwa średnie[g/s],Moment obrotowy[Nm],Obroty[obr/min]
100,-114,1003,45.40000153,0,0,46,15.89999962,27.29999924,29,65,62,59,60,40,0,0.100000001,0
301,-105,1003,45.40000153,0,0,46,15.89999962,27.29999924,28,66,63,61,60,40,0,0.257703288765335,102.937232524964
502,-68,1003,45.40000153,1.299999952,0,46,15.89999962,27.29999924,28,66,63,61,60,40,0,0.415406576530671,205.874465049929
701,-68,1003,45.40000153,1.299999952,0,46,15.89999962,27.29999924,28,66,62,61,60,40,0,0.571540677353067,307.787446504993
902,-77,1003,45.40000153,8.100000381,0,46,15.89999962,27.29999924,29,66,62,59,60,40,0,0.729243965118402,410.724679029957
1102,-87,1003,45.40000153,10.69999981,0,45,15.89999962,27.29999924,28,66,62,59,60,40,0,0.886162659412268,513.149786019971
1302,-77,1003,45.40000153,13.39999962,0,46,15.89999962,27.29999924,29,65,62,59,60,40,0.0011,1.04308135370613,615.574893009986
1502,-59,1003,45.40000153,17.39999962,0.100000001,46,15.89999962,27.29999924,29,66,62,59,60,40,0.0053,1.200000048,718
1703,-77,1003,45.29999924,27,0.100000001,46,15.89999962,27.29999924,29,65,62,59,60,40,0.011,1.20043071073415,718.951764699581
1903,78,1003,45.29999924,41.29999924,0.100000001,46,15.89999962,27.29999924,29,65,62,59,60,40,0.015,1.20085923086764,719.898794251402
2105,398,1003,45.29999924,71.30000305,0.100000001,46,15.89999962,27.29999924,29,65,62,59,60,40,0.0189,1.20129203620245,720.855294098742
2305,426,1003,45.29999924,81.59999847,0.100000001,46,15.89999962,27.29999924,29,66,63,61,60,40,0.0241,1.20172055633594,721.802323650563
2504,408,1003,45.29999924,89.59999847,0.100000001,46,15.89999962,27.29999924,28,67,64,61,60,40,0.0287,1.20214693386876,722.744618054626
2706,417,1003,45.29999924,95.09999847,0.100000001,46,15.89999962,27.29999924,28,67,64,61,60,40,0.0348,1.20257973920357,723.701117901965
2905,444,1003,45.29999924,96.90000153,0.100000001,46,15.89999962,27.29999924,28,67,64,61,61,40,0.0385,1.20300611673639,724.643412306028
3105,417,1003,45.29999924,100.1999969,0.100000001,46,15.89999962,27.29999924,28,67,65,61,61,40,0.043699998,1.20343463686987,725.590441857849
3306,426,1003,45.40000153,105.1999969,0.100000001,45,15.89999962,27.29999924,28,68,65,62,62,40,0.047699999,1.20386529960403,726.54220655743
3507,426,1003,45.40000153,105.1999969,0.100000001,45,15.89999962,27.29999924,28,68,65,62,62,40,0.053300001,1.20429596233818,727.49397125701
3707,563,1003,45.40000153,106.9000015,0.100000001,46,15.89999962,27.29999924,29,68,66,63,63,40,0.058600001,1.20472448247166,728.441000808832
3906,563,1003,45.40000153,106.9000015,0.100000001,46,15.89999962,27.29999924,28,68,67,63,63,40,0.063900001,1.20515086000448,729.383295212894
4106,536,1003,45.40000153,108.1999969,0.100000001,46,15.89999962,27.29999924,28,69,67,64,63,40,0.070900001,1.20557938013796,730.330324764716
4307,609,1003,45.40000153,107.5999985,0.100000001,46,15.89999962,27.29999924,28,69,67,64,63,40,0.076399997,1.20601004287211,731.282089464296
4507,563,1003,45.5,106.1999969,0.100000001,46,15.89999962,27.39999962,27,69,67,64,63,40,0.084799998,1.2064385630056,732.229119016118
4707,591,1003,45.5,108.5,0.100000001,46,15.89999962,27.39999962,27,70,67,64,63,40,0.092100002,1.20686708313908,733.176148567939
4908,591,1003,45.5,108.5,0.100000001,46,15.89999962,27.39999962,27,70,68,66,64,40,0.100900002,1.20729774587323,734.12791326752
5108,600,1003,45.5,108.0999985,0.100000001,46,15.89999962,27.29999924,28,70,68,66,64,40,0.107199997,1.20772626600672,735.074942819341
5308,591,1003,45.59999847,106.9000015,0.100000001,46,15.89999962,27.29999924,28,70,68,66,64,40,0.112400003,1.2081547861402,736.021972371163
5509,572,1003,45.59999847,106.0999985,0.100000001,46,15.89999962,27.29999924,28,70,68,66,64,40,0.119099997,1.20858544887435,736.973737070743
5709,517,1003,45.59999847,108,0.100000001,46,15.89999962,27.29999924,28,69,68,67,64,40,0.125599995,1.20901396900784,737.920766622565
5909,517,1003,45.70000076,108,0.100000001,47,15.89999962,27.39999962,28,70,69,67,65,40,0.134599999,1.20944248914132,738.867796174386
6110,591,1003,45.59999847,108.4000015,0.100000001,47,15.89999962,27.29999924,28,70,70,67,66,40,0.140200004,1.20987315187547,739.819560873967
6310,645,1003,45.70000076,107.3000031,0.100000001,45,15.89999962,27.39999962,26,71,70,68,66,40,0.146300003,1.21030167200896,740.766590425788
6510,609,1003,45.70000076,106.5999985,0.100000001,46,15.89999962,27.29999924,27,71,70,68,66,40,0.1514,1.21073019214244,741.71361997761
6711,664,1003,45.70000076,105.5,0.100000001,46,15.89999962,27.29999924,27,71,71,68,66,40,0.158399999,1.21116085487659,742.66538467719
6912,664,1003,45.70000076,105.5,0.100000001,46,15.89999962,27.29999924,26,71,71,68,66,40,0.1646,1.21159151761074,743.617149376771
7112,600,1003,45.79999924,108.5,0.100000001,46,15.89999962,27.29999924,26,71,71,69,67,40,0.1708,1.21202003774423,744.564178928593
7313,664,1003,45.79999924,107.6999969,0.100000001,46,15.89999962,27.29999924,26,71,71,69,68,40,0.177000001,1.21245070047838,745.515943628173
7513,673,1003,45.79999924,107.0999985,0.100000001,46,15.89999962,27.29999924,26,71,71,70,68,40,0.181899995,1.21287922061186,746.462973179995
7713,691,1003,45.79999924,105.9000015,0.100000001,46,15.89999962,27.29999924,26,71,71,70,68,40,0.188800007,1.21330774074535,747.410002731816
7913,682,1003,45.90000153,106.0999985,0.100000001,47,15.89999962,27.39999962,26,73,72,70,68,40,0.193399996,1.21373626087883,748.357032283638
8113,645,1003,45.90000153,107.5,0.100000001,47,15.89999962,27.39999962,26,72,,70,68,40,0.200000003,1.21416478101231,749.304061835459
8313,645,1003,46,107.5,0.100000001,47,15.89999962,27.39999962,26,72,72,70,68,40,0.204999998,1.2145933011458,750.25109138728
8514,645,1003,46,108,0.100000001,47,15.89999962,27.39999962,26,72,72,70,69,40,0.210500002,1.21502396387995,751.202856086861
