Time,Ciś. pow. za turb.[Pa],Ciśnienie atmosferyczne[hPa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Temp. oleju w misce[°C],Temp. otoczenia[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Temp. spalin 1/6[°C],Temp. spalin 2/6[°C],Temp. spalin 3/6[°C],Temp. spalin 4/6[°C],Wilgotność względna[%],Zużycie paliwa średnie[g/s],Moment obrotowy[Nm],Obroty[obr/min]
100.0,-114.0,1003.0,45.40000153,0.0,0.0,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.0,0.100000001,0.0
301.0,-105.0,1003.0,45.40000153,0.0,0.0,46.0,15.89999962,27.29999924,28.0,66.0,63.0,61.0,60.0,40.0,0.0,0.2577032887653352,102.93723252496433
502.0,-68.0,1003.0,45.40000153,1.299999952,0.0,46.0,15.89999962,27.29999924,28.0,66.0,63.0,61.0,60.0,40.0,0.0,0.4154065765306705,205.87446504992866
701.0,-68.0,1003.0,45.40000153,1.299999952,0.0,46.0,15.89999962,27.29999924,28.0,66.0,62.0,61.0,60.0,40.0,0.0,0.571540677353067,307.78744650499283
902.0,-77.0,1003.0,45.40000153,8.100000381,0.0,46.0,15.89999962,27.29999924,29.0,66.0,62.0,59.0,60.0,40.0,0.0,0.7292439651184022,410.7246790299572
1102.0,-87.0,1003.0,45.40000153,10.69999981,0.0,45.0,15.89999962,27.29999924,28.0,66.0,62.0,59.0,60.0,40.0,0.0,0.8861626594122682,513.1497860199714
1302.0,-77.0,1003.0,45.40000153,13.39999962,0.0,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.0011,1.043081353706134,615.5748930099857
1502.0,-59.0,1003.0,45.40000153,17.39999962,0.100000001,46.0,15.89999962,27.29999924,29.0,66.0,62.0,59.0,60.0,40.0,0.0053,1.200000048,718.0
1703.0,-77.0,1003.0,45.29999924,27.0,0.100000001,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.011,1.2004307107341514,718.9517646995806
1903.0,78.0,1003.0,45.29999924,41.29999924,0.100000001,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.015,1.2008592308676354,719.898794251402
2105.0,398.0,1003.0,45.29999924,71.30000305,0.100000001,46.0,15.89999962,27.29999924,29.0,65.0,62.0,59.0,60.0,40.0,0.0189,1.2012920362024542,720.8552940987418
2305.0,426.0,1003.0,45.29999924,81.59999847,0.100000001,46.0,15.89999962,27.29999924,29.0,66.0,63.0,61.0,60.0,40.0,0.0241,1.2017205563359383,721.8023236505633
2504.0,408.0,1003.0,45.29999924,89.59999847,0.100000001,46.0,15.89999962,27.29999924,28.0,67.0,64.0,61.0,60.0,40.0,0.0287,1.202146933868755,722.7446180546256
