Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
192;10.1;543;0;191;-277;191;490;45;1002;190;365.1;191;-280;546;0;546;0;546;0;544;0;135;0;40;16;40;39;145;139.04;46;18;135;60.000;135;26.000;135;30.000;25;16;75;16;175;11.5;184;580.8119;136;0;93;0.00;546;0;546;0;546;0;192;108.5;35;0.0;11;0.0;0;0.0;11;802;192;25;192;2;190;80;541;0;546;1;161;0.1;137309;0.0;196;0;137309;0.0;546;0;0;800;628;0;135;0;40;12;96;46;41;11;46;11.2;46;17;46;29;41;16;42;16;42;15;41;13;96;16;90;80;90;86;91;83;91;81;95;0;96;0;193;13.7;142;30.5;46;52;628;0;628;1;546;0;546;0;546;0;135;0;142;0.2494;142;0.25;
393;10.1;1545;0;391;-304;391;499;246;1002;391;365.1;392;-224;1548;0;1548;0;1548;0;1545;0;541;0;240;16;240;39;346;134.98;247;18;436;60.000;436;26.000;436;30.000;225;16;275;16;375;11.5;434;580.7635;1137;0;292;0.00;1548;0;1548;0;1548;0;391;107.4;135;0.0;31;0.0;0;0.1;31;802;392;25;392;2;392;80;1542;0;1548;1;411;0.1;137309;0.0;396;0;137309;0.0;1548;0;0;800;1630;0;541;0;241;12;297;45;241;11;246;11.2;247;17;246;29;243;16;243;16;243;15;241;13;297;16;290;80;291;86;291;83;291;81;296;0;296;0;393;13.7;342;30.5;246;52;1630;0;1630;1;1548;0;1548;0;1548;0;541;0;342;0.2506;342;0.25;
593;10.1;2546;0;592;-286;591;508;446;1002;591;365.1;591;-252;2550;0;2550;0;2550;0;2547;0;1137;0;441;16;441;39;547;137.36;447;18;736;60.000;736;26.000;736;30.000;425;16;475;16;575;11.5;685;580.7419;2138;0;493;0.00;2549;0;2549;0;2549;0;592;109.7;235;0.0;51;0.0;0;0.1;51;802;592;25;593;2;593;80;2544;0;2549;1;662;0.1;137309;0.0;597;0;137309;0.0;2549;0;0;800;2631;0;1137;0;441;12;497;45;441;11;446;11.2;447;17;447;29;442;16;442;16;443;15;441;13;497;16;492;80;492;86;492;83;492;81;496;0;497;0;593;13.7;542;30.5;446;52;2631;0;2631;1;2549;0;2549;0;2549;0;1137;0;542;0.2513;543;0.25;
793;10.1;3548;0;792;-295;791;527;647;1002;791;365.1;793;-270;3551;0;3551;0;3551;0;3548;0;1542;0;641;16;641;39;746;135.60;648;18;1036;60.000;1036;26.000;1036;30.000;625;16;675;16;776;11.5;935;580.6179;3140;0;693;0.00;3551;0;3551;0;3551;0;792;109.5;336;0.0;71;0.0;0;0.0;71;802;792;25;793;2;793;80;3546;0;3551;1;912;0.1;137309;0.0;797;0;137309;0.0;3551;0;0;800;3633;0;1542;0;641;12;698;45;642;11;647;11.2;648;17;648;29;642;16;643;16;643;15;642;13;698;16;691;80;691;86;691;83;692;81;697;0;697;0;794;13.7;743;30.5;647;52;3633;0;3633;1;3551;0;3551;0;3551;0;1542;0;743;0.2529;743;0.25;
994;10.1;4549;0;992;-231;992;499;847;1002;991;365.1;993;-289;4552;0;4552;0;4552;0;4550;0;2138;0;841;16;841;39;947;143.48;848;18;1337;60.000;1337;26.000;1337;30.000;826;16;876;16;976;11.5;1186;580.4793;4141;0;893;0.00;4552;0;4552;0;4552;0;992;108.5;436;0.0;91;0.0;0;0.0;91;802;993;25;993;2;993;80;4547;0;4552;1;1163;0.1;137331;0.0;997;0;137331;0.0;4552;0;0;800;4635;0;2138;0;842;12;898;45;842;11;847;11.2;847;17;847;29;843;16;843;16;843;15;842;13;897;16;891;80;892;86;892;83;892;81;897;0;897;0;994;13.7;943;30.5;847;52;4635;0;4635;1;4552;0;4552;0;4552;0;2138;0;943;0.2548;943;0.25;
1194;10.1;5551;0;1192;-277;1192;462;1047;1002;1192;365.1;1194;-261;5554;0;5554;0;5554;0;5551;0;2544;0;1042;16;1041;39;1147;137.23;1049;18;1637;60.000;1637;26.000;1637;30.000;1026;16;1076;16;1176;11.5;1436;580.4736;5143;0;1093;0.00;5554;0;5554;0;5554;0;1192;107.9;536;0.0;111;0.0;135;0.0;111;801;1193;25;1193;2;1193;80;5548;0;5554;1;1413;0.1;137331;0.0;1197;0;137331;0.0;5554;0;135;800;5637;0;2544;0;1042;12;1098;45;1042;11;1049;11.2;1049;17;1049;29;1043;16;1043;16;1043;15;1042;13;1098;16;1092;80;1092;86;1092;83;1092;81;1097;0;1098;0;1194;13.7;1143;30.5;1049;52;5637;0;5637;1;5554;0;5554;0;5554;0;2544;0;1144;0.2564;1144;0.25;
1394;10.1;6552;0;1393;-277;1392;462;1248;1002;1392;365.1;1394;-261;6556;0;6556;0;6556;0;6553;0;3140;0;1243;16;1242;39;1347;134.27;1249;18;1938;60.000;1938;26.000;1938;30.000;1226;16;1276;16;1376;11.5;1686;580.5176;6144;0;1294;0.00;6555;0;6555;0;6555;0;1393;107.9;636;0.0;131;0.0;135;0.0;131;801;1393;25;1393;2;1394;80;6550;0;6555;1;1663;0.1;137582;0.0;1398;0;137582;0.0;6555;0;135;800;6638;0;3140;0;1242;12;1298;46;1242;11;1249;11.2;1249;17;1249;29;1243;16;1244;16;1244;15;1242;13;1298;17;1292;80;1292;86;1292;83;1293;81;1298;0;1298;0;1394;13.7;1343;30.5;1248;52;6638;0;6638;1;6555;0;6555;0;6555;0;3140;0;1344;0.2570;1344;0.25;
1594;10.1;7555;0;1593;-286;1593;472;1447;1002;1592;365.2;1594;-270;7557;0;7557;0;7557;0;7554;0;3546;0;1443;16;1442;39;1548;135.45;1449;18;2238;60.000;2238;26.000;2238;30.000;1427;16;1477;16;1577;11.5;1937;580.4706;7146;0;1494;0.00;7557;0;7557;0;7557;0;1593;109.9;736;0.0;151;0.0;385;0.0;151;801;1594;25;1594;2;1594;80;7551;0;7557;1;1914;0.1;137582;0.0;1598;0;137582;0.0;7557;0;385;800;7640;0;3546;0;1443;12;1499;46;1443;11;1448;11.2;1448;17;1448;29;1444;16;1444;16;1444;15;1442;13;1498;16;1492;81;1492;85;1493;84;1493;82;1498;0;1498;0;1595;13.8;1544;30.5;1448;52;7640;0;7640;1;7557;0;7557;0;7557;0;3546;0;1544;0.2574;1544;0.25;
1795;10.1;8556;0;1793;-240;1793;481;1648;1002;1793;365.2;1795;-214;8560;0;8560;0;8560;0;8555;0;4141;0;1643;16;1642;39;1748;133.82;1648;18;2539;60.000;2539;26.000;2539;30.000;1627;16;1677;16;1777;11.5;2187;580.3829;8147;0;1694;0.00;8559;0;8559;0;8559;0;1794;110.6;836;0.0;171;0.0;385;0.0;171;801;1794;25;1794;2;1794;80;8553;0;8559;1;2164;0.1;137832;0.0;1798;0;137832;0.0;8559;0;385;800;8642;0;4141;0;1643;12;1699;46;1643;11;1649;11.2;1648;17;1649;29;1644;16;1644;16;1644;15;1643;13;1699;16;1693;81;1693;85;1693;84;1693;82;1698;0;1698;0;1795;13.8;1744;30.5;1648;52;8642;0;8642;1;8559;0;8559;0;8559;0;4141;0;1744;0.2573;1745;0.25;
1996;10.1;9556;0;1994;-268;1994;545;1848;1002;1994;365.2;1996;-177;9560;0;9560;0;9560;0;9557;0;4547;0;1843;16;1843;39;1948;137.70;1849;18;2839;60.000;2839;26.000;2839;30.000;1827;16;1877;16;1977;11.5;2437;580.2885;9148;0;1895;0.00;9560;0;9560;0;9560;0;1995;108.3;936;0.0;191;0.0;636;0.0;191;801;1995;25;1995;2;1995;80;9555;0;9560;1;2414;0.1;137832;0.0;1999;0;137832;0.0;9560;0;636;800;9643;0;4547;0;1843;12;1899;46;1843;11;1849;11.2;1849;17;1849;29;1844;16;1844;16;1845;15;1844;13;1899;16;1893;81;1893;87;1893;84;1894;81;1898;0;1899;0;1996;13.7;1944;30.5;1848;52;9643;0;9643;1;9560;0;9560;0;9560;0;4547;0;1945;0.2573;1945;0.25;
