Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
146;11.6;697;0;140;-323;140;-306;193;1004;140;3.5;142;-158;694;0;694;0;694;0;697;0;300;0;190;24;190;38;92;138.94;194;19;200;60.000;200;26.000;200;30.000;189;16;39;16;139;11.5;70;154.2853;300;0;45;0.74;693;0;693;0;693;0;141;0.0;0;0.0;7;-1.4;23314;-1.5;7;0;141;57;141;2;141;80;690;0;693;1;67;0.0;50;0.0;143;0;50;0.0;693;0;23314;0;585;0;300;0;191;12;43;47;190;11;193;10.7;194;17;193;26;196;16;196;16;196;15;190;14;43;22;39;93;40;107;40;102;40;99;43;0;43;0;146;19.0;95;30.5;193;55;585;0;585;1;693;0;693;0;693;0;300;0;95;0.0000;95;0.00;
345;11.6;1698;0;340;-359;340;-324;393;1004;340;3.4;342;-121;1695;0;1695;0;1695;0;1699;0;690;0;391;24;391;38;293;139.60;394;19;500;60.000;500;26.000;500;30.000;390;16;240;16;340;11.5;320;154.2523;1302;0;245;0.74;1695;0;1695;0;1695;0;341;0.0;100;0.0;27;-1.4;23314;-1.5;27;0;341;57;341;2;342;80;1692;0;1695;1;318;0.0;50;0.0;343;0;50;0.0;1695;0;23314;0;1587;0;690;0;390;12;244;47;390;11;393;10.7;394;17;394;26;395;16;396;16;396;15;390;14;243;22;240;97;240;105;240;105;241;101;243;0;243;0;346;19.0;295;30.5;393;55;1587;0;1587;1;1695;0;1695;0;1695;0;690;0;296;0.0000;295;0.00;
546;11.4;2700;0;541;-378;540;-270;593;1004;540;3.4;542;-140;2697;0;2697;0;2697;0;2500;0;1302;0;592;24;591;38;493;132.89;594;19;801;60.000;801;26.000;801;30.000;590;16;440;16;540;11.5;571;154.1197;2303;0;446;0.74;2697;0;2697;0;2697;0;541;0.0;200;0.0;47;-1.4;23333;-1.5;47;0;541;57;542;2;542;80;2693;0;2696;1;568;0.0;300;0.0;543;0;300;0.0;2696;0;23333;0;2588;0;1302;0;592;12;444;47;592;11;594;10.7;594;17;594;26;596;16;596;16;596;15;591;14;444;22;440;95;440;105;441;104;441;100;443;0;443;0;546;19.0;496;30.5;593;55;2588;0;2588;1;2696;0;2696;0;2697;0;1302;0;496;0.0000;496;0.00;
746;11.4;3100;0;741;-387;741;-260;794;1004;741;3.4;742;-149;3698;0;3698;0;3698;0;2700;0;1692;0;791;24;791;38;694;138.00;795;19;1101;60.000;1101;26.000;1101;30.000;790;16;640;16;740;11.5;821;154.0670;3305;0;646;0.74;3698;0;3698;0;3698;0;742;0.0;300;0.0;68;-1.4;23333;-1.5;68;0;742;57;742;2;742;80;3695;0;3698;1;819;0.0;300;0.0;744;0;300;0.0;3698;0;23333;0;3590;0;1692;0;791;12;644;48;791;11;794;10.7;794;17;794;26;796;16;797;16;797;15;791;14;644;22;641;95;642;105;642;104;642;100;643;0;644;0;746;18.9;696;30.5;794;55;3590;0;3590;1;3698;0;3698;0;3698;0;1692;0;696;0.0000;696;0.00;
946;11.4;3701;0;941;-433;941;-260;994;1004;941;3.5;943;-177;4700;0;4700;0;4700;0;3101;0;2303;0;991;24;991;38;894;137.59;994;19;1402;60.000;1402;26.000;1402;30.000;991;16;840;16;941;11.5;1072;154.0789;4306;0;846;1.42;4700;0;4700;0;4700;0;942;0.0;400;0.0;88;-1.4;23583;-1.5;88;0;942;57;942;2;943;80;4697;0;4700;1;1069;0.0;550;0.0;944;0;550;0.0;4700;0;23583;0;4592;0;2303;0;991;12;844;48;992;11;995;10.7;995;17;995;26;996;16;996;16;997;15;992;14;844;22;841;92;841;104;841;105;842;99;844;0;844;0;946;18.9;896;30.5;994;55;4592;0;4592;1;4700;0;4700;0;4700;0;2303;0;897;0.0000;897;0.00;
1147;11.4;4703;0;1142;-368;1141;-315;1194;1004;1141;3.5;1143;-149;5701;0;5701;0;5701;0;3702;0;2693;0;1191;24;1191;38;1094;143.17;1195;19;1702;60.000;1702;26.000;1702;30.000;1191;16;1041;16;1141;11.5;1322;154.0388;5308;0;1046;1.42;5701;0;5701;0;5701;0;1142;0.0;500;0.0;108;-1.4;23583;-1.5;108;0;1142;57;1143;2;1143;80;5698;0;5701;1;1319;0.0;550;0.0;1144;0;550;0.0;5701;0;23583;0;5593;0;2693;0;1192;12;1045;48;1192;11;1195;10.7;1195;17;1195;26;1197;16;1197;16;1197;15;1192;14;1045;22;1041;93;1041;107;1042;104;1042;98;1044;0;1044;0;1147;18.8;1096;30.5;1194;55;5593;0;5593;1;5701;0;5701;0;5701;0;2693;0;1097;0.0000;1097;0.00;
1347;11.4;5705;0;1342;-268;1342;-324;1394;1004;1342;3.5;1343;-140;6703;0;6703;0;6703;0;4703;0;3304;0;1392;24;1391;38;1294;143.79;1396;19;2002;60.000;2002;26.000;2002;30.000;1391;16;1241;16;1341;11.5;1572;153.9989;6309;0;1247;1.42;6703;0;6703;0;6703;0;1342;0.0;600;0.0;128;-1.4;23834;-1.5;128;0;1343;57;1343;2;1343;80;6700;0;6703;1;1570;0.0;801;0.0;1345;0;801;0.0;6703;0;23834;0;6595;0;3304;0;1392;12;1245;48;1392;11;1395;10.7;1395;17;1395;26;1397;16;1397;16;1397;15;1392;14;1245;22;1242;92;1243;106;1242;102;1243;97;1244;0;1245;0;1347;18.9;1297;30.5;1395;55;6595;0;6595;1;6703;0;6703;0;6703;0;3304;0;1297;0.0000;1297;0.00;
1547;11.4;6706;0;1542;-249;1542;-306;1595;1004;1542;3.5;1544;-149;7705;0;7705;0;7705;0;5705;0;3695;0;1592;24;1592;38;1496;145.52;1596;19;2303;60.000;2303;26.000;2303;30.000;1591;16;1441;16;1541;11.5;1823;153.9543;7310;0;1447;1.42;7705;0;7705;0;7705;0;1543;0.0;701;0.0;148;-1.4;23834;-1.5;148;0;1543;57;1543;2;1543;80;7701;0;7705;1;1820;0.0;801;0.0;1545;0;801;0.0;7705;0;23834;0;7597;0;3695;0;1592;12;1446;48;1592;11;1595;10.7;1596;17;1595;26;1597;16;1598;16;1597;15;1593;14;1446;22;1442;92;1442;106;1442;102;1443;97;1446;0;1446;0;1547;18.8;1497;30.5;1595;55;7597;0;7597;1;7705;0;7705;0;7705;0;3695;0;1497;0.0000;1498;0.00;
1747;11.4;7708;0;1743;-249;1742;-288;1795;1004;1742;3.5;1744;-121;8706;0;8706;0;8706;0;6707;0;4306;0;1792;24;1792;38;1696;133.80;1796;19;2603;60.000;2603;26.000;2603;30.000;1792;16;1642;16;1742;11.5;2073;153.9991;8312;0;1647;1.42;8706;0;8706;0;8706;0;1743;0.0;801;0.0;168;-1.4;24084;-1.5;168;0;1743;57;1744;2;1744;80;8703;0;8706;1;2070;0.0;1051;0.0;1745;0;1051;0.0;8706;0;24084;0;8599;0;4306;0;1793;12;1646;48;1793;11;1796;10.7;1796;17;1796;26;1798;16;1798;16;1798;15;1793;14;1645;22;1642;92;1642;106;1643;102;1642;97;1645;0;1645;0;1748;18.7;1697;30.5;1795;55;8598;0;8598;1;8706;0;8706;0;8706;0;4306;0;1698;0.0000;1698;0.00;
1948;11.4;8710;0;1943;-277;1943;-306;1995;1004;1942;3.5;1944;-140;9708;0;9708;0;9708;0;7707;0;4697;0;1993;24;1992;38;1895;136.29;1997;19;2904;60.000;2904;26.000;2904;30.000;1992;16;1842;16;1942;11.5;2324;154.0109;9313;0;1848;1.42;9707;0;9707;0;9707;0;1943;0.0;901;0.0;188;-1.4;24084;-1.5;188;0;1944;57;1944;2;1944;80;9704;0;9707;1;2321;0.0;1051;0.0;1945;0;1051;0.0;9707;0;24084;0;9600;0;4697;0;1993;12;1846;48;1993;11;1996;10.7;1996;17;1996;26;1998;16;1998;16;1998;15;1993;14;1846;22;1842;92;1843;107;1842;102;1843;98;1845;0;1846;0;1948;18.8;1898;30.5;1996;55;9600;0;9600;1;9707;0;9707;0;9707;0;4697;0;1898;0.0000;1898;0.00;
