Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
191;-84;191;700;148;991;190;3.715;191;19;849;0;849;0;849;0;886;0;272;0;40;24.8;40;31.5;48;133.47;149;18.8;272;60.000;272;26.000;272;30.000;144;17;144;17;94;11.6;158;617.365;34;4.77;849;0;849;0;849;0;192;108.0;71;0.1;6;0.8;0;0.8;6;799;192;14;190;2;190;80;941;0;849;1;46;0.0;98;0;849;0;0;800;325;0;272;0;40;22.1;199;38;40;22.6;148;18.9;149;23.5;149;22.2;184;21.5;184;21.4;184;20.5;41;23.7;199;26;90;104;90;120;90;121;91;111;198;112;198;103;134;19.7;84;19.7;148;40;325;0;325;1;849;0;849;0;849;0;272;0;84;0.1907;84;0.05;
393;-75;393;700;348;991;391;3.719;392;10;1851;0;1851;0;1851;0;1888;0;941;0;240;24.8;240;31.5;248;135.38;349;18.8;572;60.000;572;26.000;572;30.000;344;17;344;17;294;11.6;408;617.247;234;4.95;1851;0;1851;0;1851;0;393;107.9;272;0.1;26;0.8;0;0.0;26;799;391;14;392;2;392;80;1943;0;1851;1;296;0.0;298;0;1851;0;0;800;1327;0;941;0;240;22.1;399;38;241;22.6;349;18.9;349;23.5;349;22.2;385;21.5;385;21.4;386;20.5;241;23.7;399;27;290;104;290;119;291;121;291;111;398;112;399;103;335;19.7;285;19.7;349;40;1327;0;1327;1;1851;0;1851;0;1851;0;941;0;285;0.1947;285;0.44;
592;-75;591;700;549;991;591;3.719;591;10;2852;0;2852;0;2852;0;2889;0;1273;0;442;24.8;441;31.5;448;139.57;550;18.8;872;60.000;872;26.000;872;30.000;545;17;545;17;494;11.6;659;617.183;434;4.81;2852;0;2852;0;2852;0;592;107.9;472;0.1;46;0.8;0;0.8;46;799;592;14;592;2;591;80;2944;0;2852;1;547;0.0;499;0;2852;0;0;800;2329;0;1273;0;442;22.1;599;38;442;22.6;549;18.9;550;23.5;549;22.2;584;21.5;585;21.4;585;20.5;442;23.7;599;26;490;103;491;119;491;121;491;111;599;112;599;103;535;19.7;484;19.7;549;40;2329;0;2329;1;2852;0;2852;0;2852;0;1273;0;485;0.1986;485;0.24;
791;-66;791;728;749;991;791;3.724;793;28;3855;0;3855;0;3855;0;3891;0;1943;0;641;24.8;641;31.6;649;136.89;750;18.8;1173;60.000;1173;26.000;1173;30.000;745;17;745;17;695;11.6;909;617.065;635;4.94;3855;0;3855;0;3855;0;792;108.3;672;0.1;66;0.8;0;0.0;66;799;792;14;792;2;792;80;3946;0;3855;1;797;0.0;699;0;3855;0;0;800;3331;0;1943;0;641;22.1;800;38;641;22.7;750;18.9;749;23.5;749;22.3;785;21.5;785;21.4;785;20.5;642;23.7;800;26;691;103;691;119;691;121;691;111;799;112;799;103;735;19.7;685;19.7;750;40;3331;0;3331;1;3855;0;3855;0;3855;0;1943;0;685;0.2020;685;0.20;
992;-93;992;719;949;991;991;3.727;991;37;4855;0;4855;0;4855;0;4893;0;2274;0;841;24.8;841;31.6;850;135.69;950;18.8;1473;60.000;1473;26.000;1473;30.000;945;17;945;17;895;11.6;1159;616.983;835;4.94;4855;0;4855;0;4855;0;992;108.0;872;0.1;86;0.8;0;0.0;86;799;992;14;993;2;993;80;4947;0;4855;1;1047;0.0;899;0;4855;0;0;800;4332;0;2274;0;841;22.1;1000;38;842;22.7;950;18.9;950;23.5;950;22.3;985;21.5;985;21.4;986;20.5;842;23.7;1000;26;891;103;891;119;892;121;892;111;999;112;1000;103;936;19.7;885;19.7;949;40;4332;0;4332;1;4855;0;4855;0;4855;0;2274;0;885;0.2073;885;0.77;
1192;-75;1192;645;1150;991;1192;3.734;1193;19;5857;0;5857;0;5857;0;5894;0;2944;0;1042;24.8;1042;31.6;1049;131.68;1151;18.8;1774;60.000;1774;26.000;1774;30.000;1145;17;1146;17;1095;11.6;1410;616.953;1035;4.84;5857;0;5857;0;5857;0;1192;109.9;1073;0.1;106;0.8;21;0.0;106;799;1192;14;1193;2;1193;80;5949;0;5857;1;1298;0.0;1100;0;5857;0;21;800;5334;0;2944;0;1043;22.1;1200;39;1043;22.6;1150;18.9;1150;23.5;1150;22.3;1185;21.5;1186;21.4;1186;20.5;1043;23.7;1200;26;1092;103;1093;119;1093;121;1093;111;1200;112;1200;103;1136;19.7;1085;19.7;1150;40;5334;0;5334;1;5857;0;5857;0;5857;0;2944;0;1086;0.2106;1085;0.16;
1392;-75;1392;664;1350;991;1392;3.737;1393;0;6859;0;6859;0;6859;0;6896;0;3276;0;1242;24.8;1242;31.6;1250;135.51;1351;18.8;2074;60.000;2074;26.000;2074;30.000;1346;17;1346;17;1296;11.7;1660;616.688;1236;4.94;6858;0;6858;0;6858;0;1393;109.4;1273;0.1;126;0.8;21;0.0;126;799;1393;14;1393;2;1393;80;6950;0;6858;1;1548;0.0;1300;0;6858;0;21;800;6336;0;3276;0;1242;22.1;1401;39;1242;22.6;1350;18.9;1351;23.5;1350;22.3;1386;21.5;1386;21.4;1386;20.5;1242;23.7;1400;26;1292;103;1292;119;1292;121;1292;111;1400;112;1400;103;1336;19.7;1286;19.7;1351;40;6336;0;6336;1;6858;0;6858;0;6858;0;3276;0;1286;0.2144;1286;0.13;
1593;-47;1592;700;1550;991;1592;3.739;1594;19;7860;0;7860;0;7860;0;7896;0;3946;0;1442;24.8;1442;31.6;1451;140.40;1551;18.8;2374;60.000;2374;26.000;2374;30.000;1546;17;1546;17;1496;11.7;1910;616.659;1436;4.78;7860;0;7860;0;7860;0;1593;109.1;1473;0.1;146;0.8;271;0.0;146;800;1593;14;1593;2;1594;80;7952;0;7860;1;1798;0.0;1500;0;7860;0;271;800;7337;0;3946;0;1442;22.1;1601;39;1443;22.6;1551;18.9;1551;23.5;1551;22.3;1586;21.5;1586;21.4;1586;20.5;1443;23.7;1601;26;1492;103;1492;119;1492;121;1493;111;1600;112;1601;103;1536;19.6;1486;19.7;1550;40;7337;0;7337;1;7860;0;7860;0;7860;0;3946;0;1486;0.2203;1486;1.05;
1793;-47;1793;746;1750;991;1792;3.742;1794;10;8862;0;8862;0;8862;0;8899;0;4277;0;1643;24.8;1642;31.6;1650;140.11;1752;18.8;2675;60.000;2675;26.000;2675;30.000;1746;17;1746;17;1696;11.7;2161;616.703;1636;4.78;8861;0;8861;0;8861;0;1793;107.3;1674;0.1;166;0.8;271;0.0;166;800;1793;14;1794;2;1794;80;8953;0;8861;1;2049;0.0;1700;0;8861;0;271;800;8339;0;4277;0;1642;22.1;1801;39;1643;22.7;1751;18.9;1751;23.5;1751;22.3;1786;21.5;1787;21.4;1787;20.5;1643;23.7;1801;26;1693;103;1693;118;1693;120;1693;111;1801;113;1801;104;1737;19.7;1686;19.7;1751;40;8339;0;8339;1;8861;0;8861;0;8861;0;4277;0;1686;0.2253;1687;0.68;
1993;-66;1993;691;1951;991;1993;3.744;1994;-9;9863;0;9863;0;9863;0;9901;0;4947;0;1843;24.8;1842;31.6;1851;132.46;1952;18.7;2975;60.000;2975;26.000;2975;30.000;1947;17;1947;17;1896;11.7;2411;616.617;1837;4.93;9863;0;9863;0;9863;0;1993;107.9;1874;0.1;186;0.8;522;0.0;186;800;1994;14;1994;2;1994;80;9956;0;9863;1;2299;0.0;1901;0;9863;0;522;800;9341;0;4947;0;1843;22.1;2002;39;1843;22.7;1951;18.9;1952;23.5;1951;22.3;1987;21.5;1987;21.4;1987;20.5;1843;23.7;2001;26;1893;103;1893;118;1893;120;1893;111;2001;112;2001;103;1937;19.7;1886;19.7;1951;40;9341;0;9341;1;9863;0;9863;0;9863;0;4947;0;1887;0.2286;1887;0.00;
