Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
21;-20;22;755;174;991;21;3.460;22;84;475;0;475;0;475;0;595;0;565;0;71;26.2;71;46.7;74;140.68;174;23.7;264;60.000;264;26.000;264;30.000;64;21;64;21;13;11.6;109;613.038;143;0.00;474;0;474;0;474;0;21;108.5;164;0.1;11;0.9;0;0.0;11;800;21;89;22;2;22;80;572;0;474;1;142;0.0;124;0;474;0;0;800;693;0;565;0;71;26.3;25;53;71;27.2;174;23.4;175;27.7;175;33.6;92;23.7;92;24.8;93;23.3;72;31.6;24;32;121;73;121;76;121;75;121;72;24;57;24;55;43;21.3;192;23.0;174;31;693;0;693;1;474;0;474;0;474;0;565;0;193;0.2379;193;0.72;
222;-38;222;728;374;991;221;3.460;222;65;1476;0;1476;0;1476;0;1596;0;572;0;271;26.2;271;46.6;274;138.75;375;23.7;565;60.000;565;26.000;565;30.000;264;21;264;21;214;11.6;360;612.862;343;0.00;1476;0;1476;0;1476;0;223;108.2;364;0.1;31;0.9;0;0.9;31;800;221;89;221;2;222;80;1573;0;1476;1;392;0.0;324;0;1476;0;0;800;1695;0;572;0;271;26.2;226;53;272;27.1;375;23.4;375;27.7;375;33.6;293;23.7;293;24.9;293;23.3;272;31.6;225;32;321;73;321;76;322;74;322;72;225;57;225;55;243;21.2;393;23.0;374;31;1695;0;1695;1;1476;0;1476;0;1476;0;572;0;393;0.2404;393;1.36;
422;-38;422;810;574;991;421;3.459;422;37;2478;0;2478;0;2478;0;2598;0;1566;0;471;26.2;471;46.6;475;138.64;576;23.7;865;60.000;865;26.000;865;30.000;464;21;464;21;414;11.6;610;612.717;543;0.00;2477;0;2477;0;2477;0;422;106.8;565;0.1;51;0.9;0;0.9;51;800;423;89;423;2;421;80;2574;0;2477;1;642;0.0;525;0;2477;0;0;800;2697;0;1566;0;472;26.3;425;53;472;27.1;575;23.4;575;27.7;575;33.6;493;23.8;493;24.9;493;23.3;472;31.6;425;32;521;74;522;76;522;74;522;72;424;57;424;55;443;21.2;594;23.0;575;31;2697;0;2697;1;2477;0;2477;0;2477;0;1566;0;594;0.2403;594;0.00;
622;-38;623;810;775;991;622;3.459;623;37;3479;0;3479;0;3479;0;3598;0;1573;0;672;26.2;672;46.6;675;135.66;775;23.7;1165;60.000;1165;26.000;1165;30.000;664;21;665;21;614;11.6;860;612.594;743;0.00;3479;0;3479;0;3479;0;622;106.8;765;0.1;72;0.9;0;0.0;72;800;622;89;622;2;623;80;3576;0;3479;1;893;0.0;725;0;3479;0;0;800;3698;0;1573;0;672;26.3;626;54;672;27.1;776;23.4;775;27.7;776;33.6;693;23.8;694;24.9;693;23.4;673;31.6;625;33;722;74;722;76;722;74;722;72;625;57;625;55;644;21.2;793;23.0;775;31;3698;0;3698;1;3479;0;3479;0;3479;0;1573;0;794;0.2406;794;0.34;
823;-57;823;774;975;991;822;3.460;823;65;4481;0;4481;0;4481;0;4601;0;2567;0;872;26.3;872;46.6;876;133.29;976;23.7;1466;60.000;1466;26.000;1466;30.000;865;21;865;21;815;11.6;1111;612.553;944;0.00;4480;0;4480;0;4480;0;823;106.2;965;0.1;91;0.9;0;0.0;91;800;822;89;822;2;823;80;4578;0;4480;1;1143;0.0;925;0;4480;0;0;800;4700;0;2567;0;872;26.3;826;54;872;27.1;975;23.4;976;27.7;976;33.6;893;23.8;894;24.9;894;23.4;873;31.5;826;32;922;74;922;76;922;74;923;72;825;57;825;55;844;21.2;994;23.0;975;31;4700;0;4700;1;4480;0;4480;0;4480;0;2567;0;994;0.2412;994;0.10;
1023;-57;1023;801;1175;991;1022;3.459;1023;0;5482;0;5482;0;5482;0;5602;0;2574;0;1072;26.2;1072;46.6;1075;138.70;1176;23.7;1766;60.000;1766;26.000;1766;30.000;1065;21;1065;21;1015;11.6;1361;612.372;1144;0.00;5482;0;5482;0;5482;0;1023;105.9;1165;0.1;111;0.9;64;0.0;112;800;1024;89;1024;2;1022;80;5580;0;5482;1;1393;0.0;1125;0;5482;0;64;800;5702;0;2574;0;1073;26.2;1026;54;1073;27.1;1176;23.4;1176;27.7;1176;33.6;1094;23.7;1094;24.9;1094;23.4;1073;31.5;1026;32;1122;74;1123;76;1123;74;1123;72;1025;57;1025;54;1044;21.2;1194;23.0;1176;31;5702;0;5702;1;5482;0;5482;0;5482;0;2574;0;1194;0.2433;1194;0.70;
1223;-66;1223;737;1376;991;1222;3.460;1224;10;6484;0;6484;0;6484;0;6604;0;3569;0;1274;26.2;1273;46.6;1276;141.02;1377;23.7;2067;60.000;2067;26.000;2067;30.000;1265;21;1266;21;1215;11.6;1611;612.262;1344;0.00;6484;0;6484;0;6484;0;1223;108.1;1366;0.1;132;0.9;64;0.0;132;800;1223;89;1224;2;1224;80;6581;0;6484;1;1644;0.0;1326;0;6484;0;64;800;6703;0;3569;0;1274;26.2;1226;53;1274;27.1;1376;23.4;1377;27.6;1376;33.6;1294;23.7;1294;24.9;1295;23.4;1274;31.4;1226;32;1323;74;1323;78;1323;76;1323;73;1226;57;1226;55;1245;21.2;1394;23.0;1376;31;6703;0;6703;1;6484;0;6484;0;6484;0;3569;0;1394;0.2455;1395;0.63;
1423;-20;1423;783;1576;991;1423;3.460;1424;19;7485;0;7485;0;7485;0;7605;0;3576;0;1474;26.2;1473;46.7;1477;138.66;1577;23.7;2367;60.000;2367;26.000;2367;30.000;1466;21;1466;21;1415;11.6;1862;612.430;1545;0.00;7485;0;7485;0;7485;0;1423;109.1;1566;0.1;152;0.9;314;0.0;152;801;1424;89;1424;2;1424;80;7582;0;7485;1;1894;0.0;1526;0;7485;0;314;800;7706;0;3576;0;1473;26.2;1427;54;1473;27.1;1576;23.4;1577;27.7;1577;33.6;1494;23.7;1495;24.8;1495;23.3;1473;31.4;1427;32;1523;73;1523;77;1523;75;1524;73;1426;57;1426;55;1445;21.2;1595;23.0;1576;31;7706;0;7706;1;7485;0;7485;0;7485;0;3576;0;1595;0.2465;1595;0.14;
1624;-1;1624;792;1776;991;1623;3.459;1624;28;8487;0;8487;0;8487;0;8606;0;4570;0;1673;26.2;1673;46.6;1676;134.76;1777;23.7;2667;60.000;2667;26.000;2667;30.000;1666;21;1666;21;1616;11.6;2112;612.465;1745;0.00;8487;0;8487;0;8487;0;1624;109.2;1766;0.1;172;0.9;314;0.0;172;801;1624;89;1625;2;1623;80;8585;0;8487;1;2144;0.0;1726;0;8487;0;314;800;8707;0;4570;0;1674;26.2;1627;54;1674;27.1;1777;23.4;1777;27.7;1777;33.6;1695;23.7;1695;24.8;1695;23.3;1674;31.3;1627;32;1723;73;1723;77;1724;75;1724;73;1626;57;1626;55;1645;21.4;1795;23.0;1777;31;8707;0;8707;1;8487;0;8487;0;8487;0;4570;0;1796;0.2439;1795;0.00;
1824;-1;1824;792;1977;991;1823;3.460;1825;37;9488;0;9488;0;9488;0;9608;0;4578;0;1874;26.2;1873;46.6;1876;134.18;1977;23.7;2968;60.000;2968;26.000;2968;30.000;1866;21;1866;21;1816;11.6;2363;612.301;1945;0.00;9488;0;9488;0;9488;0;1824;108.4;1967;0.1;192;0.9;564;0.0;192;801;1824;89;1825;2;1825;80;9585;0;9488;1;2395;0.0;1927;0;9488;0;564;800;9709;0;4578;0;1874;26.2;1827;53;1874;27.1;1977;23.4;1978;27.7;1977;33.6;1895;23.7;1895;24.9;1895;23.3;1875;31.3;1827;32;1924;74;1924;77;1924;75;1924;72;1826;58;1827;55;1845;21.3;1995;23.0;1977;31;9709;0;9709;1;9488;0;9488;0;9488;0;4578;0;1995;0.2436;1996;0.00;
2024;-29;2024;774;2177;991;2024;3.460;2025;47;10490;0;10490;0;10490;0;10610;0;5572;0;2075;26.1;2074;46.7;2077;137.60;2178;23.7;3268;60.000;3268;26.000;3268;30.000;2066;21;2067;21;2016;11.6;2613;612.322;2146;0.00;10490;0;10490;0;10490;0;2024;106.3;2167;0.1;212;0.9;564;0.0;212;801;2025;89;2025;2;2025;80;10587;0;10490;1;2645;0.0;2127;0;10490;0;564;800;10710;0;5572;0;2074;26.2;2028;53;2074;27.1;2177;23.4;2178;27.7;2178;33.6;2095;23.7;2096;24.9;2096;23.3;2075;31.3;2027;32;2125;74;2125;77;2125;75;2125;72;2027;58;2027;54;2046;21.4;2195;23.0;2177;31;10710;0;10710;1;10490;0;10490;0;10490;0;5572;0;2196;0.2445;2196;0.91;
2224;-57;2224;737;2378;991;2224;3.460;2226;56;11491;0;11491;0;11491;0;11612;0;5580;0;2274;26.1;2274;46.6;2277;140.13;2379;23.7;3569;60.000;3569;26.000;3569;30.000;2267;21;2267;21;2217;11.6;2863;612.444;2346;0.00;11491;0;11491;0;11491;0;2225;107.0;2367;0.1;232;0.9;815;0.0;232;801;2225;89;2225;2;2225;80;11588;0;11491;1;2896;0.0;2327;0;11491;0;815;800;11712;0;5580;0;2275;26.2;2228;52;2275;27.1;2379;23.4;2379;27.6;2379;33.6;2296;23.7;2296;24.9;2296;23.3;2274;31.2;2228;32;2324;74;2324;76;2325;75;2325;73;2227;58;2227;55;2246;21.4;2396;23.0;2378;31;11712;0;11712;1;11491;0;11491;0;11491;0;5580;0;2396;0.2439;2396;0.16;
2425;-57;2425;737;2577;991;2424;3.460;2426;56;12493;0;12493;0;12493;0;12613;0;6573;0;2475;26.1;2474;46.6;2478;132.39;2578;23.8;3869;60.000;3869;26.000;3869;30.000;2467;21;2467;21;2417;11.6;3114;612.384;2546;0.00;12493;0;12493;0;12493;0;2425;107.0;2568;0.1;252;0.9;815;0.0;252;801;2425;89;2425;2;2426;80;12590;0;12493;1;3146;0.0;2528;0;12493;0;815;800;12714;0;6573;0;2475;26.2;2429;53;2475;27.1;2578;23.4;2578;27.6;2579;33.7;2496;23.7;2496;24.8;2496;23.3;2475;31.2;2429;32;2524;74;2525;76;2525;75;2525;73;2428;59;2429;55;2446;21.4;2596;23.0;2578;31;12714;0;12714;1;12493;0;12493;0;12493;0;6573;0;2596;0.2420;2597;0.00;
2625;-11;2625;755;2778;991;2625;3.459;2626;65;13495;0;13495;0;13495;0;13613;0;6581;0;2676;26.1;2675;46.6;2678;135.33;2779;23.8;4170;60.000;4170;26.000;4170;30.000;2667;21;2668;21;2617;11.6;3364;612.164;2747;0.00;13494;0;13494;0;13494;0;2625;109.0;2768;0.1;272;0.9;1065;0.0;272;801;2626;89;2626;2;2626;80;13591;0;13494;1;3396;0.0;2728;0;13494;0;1065;800;13716;0;6581;0;2675;26.2;2629;53;2675;27.1;2778;23.4;2779;27.6;2778;33.7;2696;23.7;2696;24.9;2697;23.4;2676;31.2;2628;32;2725;74;2725;76;2725;75;2725;73;2628;59;2628;55;2647;21.4;2796;23.0;2778;31;13716;0;13716;1;13494;0;13494;0;13494;0;6581;0;2797;0.2392;2797;0.00;
