Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
134;-240;134;270;88;994;134;4.253;135;-168;790;0;790;0;790;0;797;0;490;0;184;18.7;184;19.0;188;137.63;89;17.6;290;60.000;290;26.000;290;30.000;163;15;164;15;113;11.7;33;613.774;145;1.26;789;0;789;0;789;0;134;113.8;90;0.1;4;0.6;0;0.0;4;801;135;14;135;2;135;80;885;0;789;1;225;0.1;37;0;789;0;0;800;42;0;490;0;184;19.1;138;15;184;19.9;89;16.1;88;18.7;89;13.4;95;18.6;95;18.5;95;17.6;185;19.6;138;16;33;38;34;42;34;43;34;37;137;28;138;26;45;16.4;195;19.7;89;36;42;0;42;1;789;0;789;0;789;0;490;0;195;0.3481;195;0.84;
334;-203;334;261;288;994;334;4.260;336;-214;1790;0;1790;0;1790;0;1800;0;885;0;384;18.7;384;19.0;388;133.94;289;17.6;591;60.000;591;26.000;591;30.000;364;15;364;15;314;11.7;283;613.568;345;1.26;1790;0;1790;0;1790;0;335;112.3;290;0.1;24;0.6;0;0.6;24;801;335;14;335;2;335;80;1886;0;1790;1;475;0.1;238;0;1790;0;0;800;1044;0;885;0;384;19.1;338;15;385;19.8;288;16.1;288;18.7;288;13.4;295;18.5;295;18.5;296;17.7;385;19.6;338;16;234;39;234;44;234;44;235;38;338;28;338;27;246;16.4;395;19.7;288;36;1044;0;1044;1;1790;0;1790;0;1790;0;885;0;396;0.3550;396;0.98;
535;-148;535;279;488;994;534;4.268;536;-261;2792;0;2792;0;2792;0;2800;0;1492;0;584;18.7;584;19.0;588;127.88;489;17.6;891;60.000;891;26.000;891;30.000;564;15;564;15;514;11.7;534;613.345;546;1.26;2791;0;2791;0;2791;0;535;114.1;491;0.1;44;0.6;0;0.6;44;801;535;14;535;2;536;80;2888;0;2791;1;725;0.1;438;0;2791;0;0;800;2046;0;1492;0;585;19.0;539;15;585;19.8;488;16.1;489;18.7;489;13.4;495;18.5;496;18.5;496;17.7;585;19.6;539;17;434;39;435;44;434;44;435;38;538;29;538;28;446;16.4;596;19.7;488;36;2046;0;2046;1;2791;0;2791;0;2791;0;1492;0;596;0.3604;596;0.35;
735;-212;735;307;688;994;735;4.281;736;-186;3794;0;3794;0;3794;0;3802;0;1886;0;785;18.7;785;19.0;790;139.79;689;17.6;1191;60.000;1191;26.000;1191;30.000;764;15;764;15;714;11.7;784;613.291;746;1.32;3794;0;3794;0;3794;0;735;115.2;691;0.1;64;0.6;0;0.0;64;801;736;14;736;2;736;80;3889;0;3794;1;976;0.1;638;0;3794;0;0;800;3048;0;1886;0;785;19.1;740;15;785;19.8;689;16.1;689;18.7;689;13.4;696;18.6;696;18.5;696;17.7;786;19.6;740;17;634;41;635;45;635;45;635;39;739;29;739;28;646;16.4;796;19.7;688;36;3048;0;3048;1;3794;0;3794;0;3794;0;1886;0;796;0.3642;796;0.00;
935;-176;935;316;888;994;935;4.287;937;-214;4795;0;4795;0;4795;0;4804;0;2493;0;985;18.7;985;19.0;989;140.21;890;17.6;1492;60.000;1492;26.000;1492;30.000;964;15;965;15;914;11.7;1034;613.276;946;1.32;4795;0;4795;0;4795;0;936;114.6;891;0.1;84;0.7;0;0.0;84;801;936;14;936;2;936;80;4891;0;4794;1;1226;0.1;839;0;4794;0;0;800;4049;0;2493;0;985;19.1;939;15;986;19.9;889;16.1;889;18.7;889;13.4;896;18.6;896;18.4;897;17.7;986;19.6;939;17;835;41;835;45;835;45;835;39;939;29;939;28;846;16.5;996;19.7;889;36;4049;0;4049;1;4794;0;4795;0;4795;0;2493;0;996;0.3683;997;0.20;
1136;-231;1135;243;1089;994;1135;4.292;1137;-196;5796;0;5796;0;5796;0;5805;0;2888;0;1185;18.7;1185;18.9;1189;132.82;1090;17.6;1792;60.000;1792;26.000;1792;30.000;1165;15;1165;15;1115;11.7;1285;613.167;1147;1.32;5796;0;5796;0;5796;0;1136;113.3;1091;0.1;104;0.7;240;0.0;104;801;1136;14;1136;2;1137;80;5892;0;5796;1;1476;0.1;1039;0;5796;0;240;800;5051;0;2888;0;1186;19.1;1140;16;1186;19.9;1089;16.1;1090;18.7;1089;13.4;1096;18.6;1097;18.4;1097;17.7;1186;19.6;1139;16;1035;41;1036;45;1035;46;1036;39;1139;30;1139;28;1047;16.5;1197;19.7;1089;36;5051;0;5051;1;5796;0;5796;0;5796;0;2888;0;1197;0.3732;1197;0.63;
1336;-286;1336;270;1289;994;1335;4.297;1337;-168;6799;0;6799;0;6799;0;6807;0;3495;0;1386;18.6;1385;19.0;1389;136.10;1289;17.6;2093;60.000;2093;26.000;2093;30.000;1365;15;1365;15;1315;11.7;1535;612.960;1347;1.32;6799;0;6799;0;6799;0;1336;112.9;1292;0.1;124;0.7;240;0.0;124;800;1336;14;1337;2;1337;80;6894;0;6799;1;1727;0.1;1239;0;6799;0;240;800;6053;0;3495;0;1386;19.1;1340;16;1386;19.9;1290;16.1;1290;18.7;1290;13.5;1297;18.6;1297;18.4;1297;17.7;1387;19.6;1340;16;1236;41;1236;46;1237;46;1237;40;1339;30;1340;28;1247;16.5;1397;19.7;1290;36;6053;0;6053;1;6799;0;6799;0;6799;0;3495;0;1397;0.3782;1397;0.73;
1536;-212;1536;279;1489;994;1536;4.301;1537;-168;7799;0;7799;0;7799;0;7807;0;3889;0;1586;18.6;1586;18.9;1590;134.34;1491;17.7;2393;60.000;2393;26.000;2393;30.000;1565;15;1566;15;1515;11.7;1786;612.856;1547;1.32;7799;0;7799;0;7799;0;1537;113.7;1492;0.1;145;0.7;490;0.0;145;800;1537;14;1537;2;1537;80;7895;0;7799;1;1977;0.1;1439;0;7799;0;490;800;7054;0;3889;0;1586;19.1;1540;16;1586;19.9;1490;16.1;1490;18.8;1490;13.5;1497;18.6;1497;18.4;1497;17.7;1587;19.6;1540;16;1436;41;1436;46;1436;46;1436;40;1540;30;1540;28;1447;16.5;1597;19.7;1490;36;7054;0;7054;1;7799;0;7799;0;7799;0;3889;0;1597;0.3827;1598;0.46;
1737;-249;1736;206;1690;994;1736;4.309;1738;-168;8801;0;8801;0;8801;0;8810;0;4496;0;1786;18.7;1786;18.9;1791;134.90;1691;17.7;2694;60.000;2694;26.000;2694;30.000;1766;15;1766;15;1716;11.7;2036;612.793;1748;1.28;8801;0;8801;0;8801;0;1737;114.7;1692;0.1;165;0.7;490;0.0;165;800;1737;14;1737;2;1738;80;8897;0;8801;1;2228;0.1;1640;0;8801;0;490;800;8056;0;4496;0;1787;19.1;1741;16;1787;19.9;1690;16.1;1691;18.8;1690;13.5;1697;18.7;1698;18.4;1698;17.7;1787;19.6;1740;16;1636;41;1636;46;1636;46;1637;40;1740;30;1740;28;1648;16.5;1798;19.7;1690;36;8056;0;8056;1;8801;0;8801;0;8801;0;4496;0;1799;0.3872;1799;0.44;
1937;-258;1937;188;1890;994;1936;4.312;1938;-233;9802;0;9802;0;9802;0;9811;0;4891;0;1987;18.6;1986;18.9;1990;132.02;1890;17.6;2994;60.000;2994;26.000;2994;30.000;1966;15;1966;15;1916;11.7;2286;612.741;1948;1.28;9802;0;9802;0;9802;0;1937;114.5;1892;0.1;185;0.7;741;0.0;185;801;1937;14;1938;2;1938;80;9899;0;9802;1;2478;0.1;1840;0;9802;0;741;800;9058;0;4891;0;1987;19.1;1941;15;1987;19.9;1891;16.1;1890;18.8;1891;13.5;1898;18.7;1898;18.4;1898;17.7;1988;19.6;1941;16;1836;41;1837;46;1837;46;1837;40;1940;31;1940;29;1848;16.5;1998;19.7;1891;36;9058;0;9058;1;9802;0;9802;0;9802;0;4891;0;1998;0.3909;1998;0.18;
