Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
52;-93;51;-77;7;999;50;0.006;51;19;108;0;108;0;108;0;161;0;200;0;100;21.7;100;70.9;108;160.98;8;20.9;123;60.000;123;30.000;123;34.000;100;18;100;18;50;11.7;121;616.109;110;7.90;107;0;107;0;107;0;52;0.0;23;0.0;13;-0.3;4927;1.2;13;0;50;196;51;32;51;111;200;0;107;1;133;0.0;123;0.0;158;0;123;0.0;107;1;4927;802;990;1;200;0;101;18.2;58;79;101;17.9;8;13.2;8;25.8;8;40.1;59;15.3;60;15.3;60;14.2;101;28.8;58;45;151;164;151;181;151;191;151;168;57;181;58;165;10;16.9;159;20.6;7;32;990;0;990;1;107;0;107;0;107;0;200;1;160;0.00;160;0.0050;
252;-112;252;-77;208;999;251;0.005;252;0;1109;0;1109;0;1109;0;1162;0;624;0;301;21.7;301;70.9;308;156.80;208;20.9;423;60.000;423;30.000;423;34.000;300;18;300;18;250;11.8;371;616.149;310;8.09;1109;0;1109;0;1109;0;251;0.0;223;0.0;33;-0.3;5130;1.2;33;0;251;196;251;32;251;111;1202;0;1109;1;383;0.0;373;0.0;358;0;373;0.0;990;1;5130;802;1791;0;624;0;301;18.2;258;79;301;17.9;208;13.2;209;25.8;208;40.1;260;15.3;260;15.3;260;14.2;301;28.8;258;45;351;165;351;180;351;188;352;168;258;181;258;165;210;16.9;360;20.6;208;32;1791;0;1791;1;1109;0;1109;0;1109;0;624;1;360;0.05;360;0.0047;
452;-121;452;-87;408;999;451;0.005;452;-9;2111;0;2111;0;2111;0;2164;0;1202;0;501;21.7;501;70.9;508;155.29;409;20.8;724;60.000;724;30.000;724;34.000;500;18;500;18;450;11.8;622;616.126;510;8.06;1710;0;1710;0;1710;0;452;0.0;423;0.0;53;-0.3;5380;1.2;53;0;452;196;451;32;451;111;2203;0;1710;1;634;0.0;624;0.0;558;0;624;0.0;1109;1;5380;802;2793;0;1202;0;501;18.2;460;79;502;17.9;408;13.2;409;25.8;409;40.1;460;15.2;460;15.3;460;14.2;502;28.7;459;45;551;165;551;180;552;186;552;168;459;180;459;162;410;16.9;560;20.6;408;32;2793;0;2793;1;1710;0;1710;0;1710;0;1202;1;561;0.05;560;0.0057;
653;-93;652;-68;608;999;651;0.005;652;0;3112;0;3112;0;3112;0;3166;0;1625;0;701;21.7;701;70.9;708;156.82;609;20.8;1024;60.000;1024;30.000;1024;34.000;701;18;701;18;650;11.8;872;616.161;710;7.87;2111;0;2111;0;2111;0;653;1.1;624;0.0;73;-0.3;5631;1.2;73;0;651;196;652;32;652;111;3205;0;2110;1;884;0.0;874;0.0;759;0;874;0.0;1515;0;5631;802;3795;0;1625;0;702;18.2;659;79;702;17.9;609;13.2;609;25.7;609;40.1;660;15.2;660;15.3;661;14.2;702;28.7;659;45;752;165;752;181;752;184;752;169;658;180;659;162;611;16.9;761;20.6;608;32;3795;0;3795;1;2110;0;2110;0;2111;0;1625;1;762;0.05;762;0.0048;
852;-57;852;-87;808;999;851;0.006;852;-37;4114;0;4114;0;4114;0;4167;0;2203;0;902;21.7;901;70.9;909;156.17;810;20.8;1325;60.000;1325;30.000;1325;34.000;901;18;901;18;851;11.8;1122;615.991;911;8.03;3112;0;3112;0;3112;0;853;8.9;824;0.0;93;-0.3;5881;1.2;93;0;853;196;853;32;852;110;4207;0;3112;1;1135;0.0;1124;0.0;959;0;1124;0.0;1710;0;5881;802;4796;0;2203;0;902;18.2;859;79;902;17.9;809;13.2;809;25.7;809;40.1;861;15.3;861;15.4;861;14.2;902;28.7;859;45;953;165;953;181;953;184;953;169;859;181;859;164;811;16.9;961;20.6;809;32;4796;0;4796;1;3112;0;3112;0;3112;0;2203;1;961;0.05;961;0.0079;
1052;-93;1052;-77;1009;999;1052;0.005;1053;-9;5115;0;5115;0;5115;0;5169;0;2627;0;1102;21.7;1102;70.9;1109;160.79;1010;20.8;1625;60.000;1625;30.000;1625;34.000;1101;18;1101;18;1051;11.8;1373;615.980;1111;7.83;4114;0;4114;0;4114;0;1052;11.7;1024;0.0;113;-0.3;6131;1.2;113;1;1053;196;1053;32;1053;110;5208;0;4114;1;1385;0.0;1375;0.0;1159;0;1375;0.0;2110;0;6131;802;5798;0;2627;0;1102;18.2;1060;79;1102;17.9;1009;13.2;1010;25.7;1009;40.1;1061;15.3;1061;15.3;1061;14.2;1103;28.7;1059;45;1152;165;1152;181;1153;184;1153;168;1059;180;1059;164;1011;16.9;1161;20.6;1009;32;5798;0;5798;1;4114;0;4114;0;4114;0;2627;1;1161;0.05;1161;0.0077;
1253;-93;1253;-59;1209;999;1252;0.006;1252;28;6117;0;6117;0;6117;0;6170;0;3205;0;1302;21.6;1302;70.8;1310;157.61;1210;20.8;1925;60.000;1925;30.000;1925;34.000;1301;18;1302;18;1251;11.8;1623;615.932;1311;7.90;5115;0;5115;0;5115;0;1253;14.2;1225;0.0;133;-0.3;6382;1.2;133;1;1253;196;1253;32;1254;110;6210;0;5115;1;1635;0.0;1625;0.0;1360;0;1625;0.0;3112;0;6382;802;6800;0;3205;0;1303;18.2;1260;79;1303;17.9;1210;13.2;1210;25.7;1210;40.1;1261;15.2;1261;15.4;1262;14.2;1303;28.7;1260;45;1352;165;1353;181;1353;184;1353;170;1259;180;1260;164;1212;16.8;1361;20.6;1209;32;6800;0;6800;1;5115;0;5115;0;5115;0;3205;1;1362;0.13;1362;0.0102;
1453;-93;1453;-87;1409;999;1452;0.005;1454;0;7119;0;7119;0;7119;0;7172;0;3628;0;1503;21.6;1502;70.8;1510;151.99;1410;20.8;2226;60.000;2226;30.000;2226;34.000;1502;18;1502;18;1452;11.8;1873;615.817;1512;8.06;6117;0;6117;0;6117;0;1453;20.7;1425;0.1;153;-0.3;6632;1.2;153;1;1453;196;1454;32;1454;110;7211;0;6117;1;1886;0.0;1875;0.0;1560;0;1875;0.0;4114;0;6632;802;7801;0;3628;0;1503;18.2;1460;79;1503;17.9;1410;13.2;1411;25.7;1410;40.1;1461;15.2;1462;15.4;1462;14.2;1503;28.7;1460;45;1553;165;1553;181;1553;184;1553;170;1460;180;1460;164;1412;16.9;1562;20.6;1410;32;7801;0;7801;1;6117;0;6117;0;6117;0;3628;1;1562;0.13;1562;0.0111;
1653;-112;1653;-77;1610;999;1653;0.006;1654;0;8120;0;8120;0;8120;0;8173;0;4207;0;1703;21.6;1703;70.8;1710;160.43;1611;20.8;2526;60.000;2526;30.000;2526;34.000;1702;18;1702;18;1652;11.8;2124;615.595;1712;7.85;7118;0;7118;0;7118;0;1653;30.5;1625;0.1;173;-0.3;6882;1.2;173;2;1654;196;1654;32;1654;110;8213;0;7118;1;2136;0.0;2126;0.0;1760;0;2126;0.0;5115;0;6882;802;8803;0;4207;0;1703;18.2;1661;79;1703;17.9;1610;13.2;1611;25.7;1610;40.1;1662;15.2;1662;15.4;1662;14.2;1704;28.6;1660;45;1753;165;1753;181;1753;184;1754;170;1660;180;1660;164;1612;16.9;1762;20.6;1610;32;8803;0;8803;1;7118;0;7118;0;7118;0;4207;1;1762;0.13;1762;0.0145;
1853;-121;1853;106;1810;1000;1853;0.006;1855;28;9122;0;9122;0;9122;0;9175;0;4629;0;1904;21.6;1903;70.8;1910;157.19;1811;20.8;2827;60.000;2827;30.000;2827;34.000;1902;18;1902;18;1852;11.7;2374;615.216;1912;7.81;8120;0;8120;0;8120;0;1854;56.8;1825;0.1;193;-0.3;7133;1.2;193;2;1854;196;1854;32;1854;110;9214;0;8120;1;2386;0.0;2376;0.0;1961;0;2376;0.0;6117;0;7133;802;9805;0;4629;0;1903;18.2;1861;79;1903;17.9;1810;13.2;1811;25.7;1811;40.1;1862;15.2;1862;15.4;1863;14.2;1904;28.6;1861;45;1953;165;1954;180;1954;184;1954;169;1860;180;1860;164;1812;16.9;1962;20.6;1810;32;9805;0;9805;1;8120;0;8120;0;8120;0;4629;1;1963;0.13;1962;0.0178;
