Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[bar];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przyklad[bar];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin za turbiną 1/2[°C];Czas [ms];Temp. spalin za turbiną 2/2[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
36;57277;36;2604;0;1002;35;5.964;37;84;100;0;100;0;100;0;190;1;168;1;86;28.3;85;68.9;102;127.74;1;26.8;268;60.000;268;25.000;268;34.000;50;24;50;24;0;11.5;201;227.147;138;0.00;100;0;100;0;100;0;36;191.3;169;0.0;0;0.3;168;0.2;0;1304;36;24;36;0;37;3;185;0;100;1;240;30.0;150;0;100;0;168;1300;106;0;168;0;86;26.2;51;22;86;27.1;1;23.9;1;29.7;1;49.6;88;23.1;88;25.5;88;25.1;86;27.6;51;32;135;119;136;123;136;121;136;123;50;133;50;130;38;23.1;188;21.4;0;22;106;0;106;1;100;0;100;0;100;0;168;1;188;0.22;188;0.3656;
236;57388;236;2594;200;1002;236;5.964;237;75;1102;0;1102;0;1102;0;1191;1;185;1;286;28.3;286;68.9;300;131.21;202;26.8;569;60.000;569;25.000;569;34.000;250;24;251;24;200;11.4;452;231.073;338;0.00;1101;0;1101;0;1101;0;236;194.1;369;0.0;20;0.3;419;0.2;20;1304;237;24;237;0;237;3;1187;0;1101;1;490;29.9;350;0;1101;0;419;1300;1107;0;185;0;286;26.2;251;22;286;27.2;201;23.9;202;29.6;201;49.5;288;23.1;288;25.5;289;25.1;287;27.6;251;35;336;119;336;123;336;121;336;123;250;131;250;131;239;23.1;388;21.4;200;22;1107;0;1107;1;1101;0;1101;0;1101;0;185;1;388;0.22;389;0.3656;
436;57424;436;2604;402;1002;436;5.964;438;84;2103;0;2103;0;2103;0;2193;1;1170;1;486;28.3;486;68.9;500;127.69;401;26.8;869;60.000;869;25.000;869;34.000;451;24;451;24;401;11.5;702;235.452;538;0.00;2103;0;2103;0;2103;0;437;186.8;569;0.0;40;0.3;669;0.2;40;1304;437;24;437;0;437;3;2190;0;2103;1;741;29.9;550;0;2103;0;669;1300;2109;0;1170;0;486;26.2;452;22;487;27.2;400;23.9;401;29.6;401;49.6;488;23.1;489;25.5;489;25.1;487;27.6;451;33;536;119;536;123;537;121;537;124;450;131;451;131;439;23.1;588;21.4;402;22;2109;0;2109;1;2103;0;2103;0;2103;0;1170;1;589;0.22;589;0.3656;
638;57397;637;2558;601;1002;637;5.964;639;65;3105;0;3105;0;3105;0;3194;1;1187;1;686;28.4;686;68.9;701;136.33;602;26.8;1170;60.000;1170;25.000;1170;34.000;651;24;651;24;601;11.5;952;239.679;739;0.00;3104;0;3104;0;3104;0;638;184.4;769;0.0;60;0.3;919;0.2;60;1304;638;24;638;0;639;3;3190;0;3104;1;991;30.0;751;0;3104;0;919;1300;3111;0;1187;0;687;26.2;651;22;687;27.2;602;23.9;602;29.6;602;49.6;689;23.1;689;25.5;689;25.1;687;27.6;652;32;736;118;737;123;737;121;737;124;651;133;652;130;639;23.1;789;21.4;601;22;3111;0;3111;1;3104;0;3104;0;3104;0;1187;1;789;0.22;789;0.3656;
837;57397;838;2558;801;1002;837;5.964;838;65;4107;0;4107;0;4107;0;4196;1;2171;1;887;28.4;887;68.9;901;139.33;803;26.7;1470;60.000;1470;25.000;1470;34.000;851;24;852;24;801;11.5;1203;244.036;939;0.00;4106;0;4106;0;4106;0;837;184.4;969;0.0;80;0.3;1170;0.2;80;1304;837;24;837;0;838;3;4192;0;4106;1;1241;30.0;951;0;4106;0;1170;1300;4112;0;2171;0;887;26.2;853;22;887;27.2;802;23.9;802;29.7;802;49.6;889;23.1;889;25.5;889;25.1;887;27.6;852;34;937;118;937;123;937;121;937;124;852;133;852;130;839;23.1;989;21.4;801;22;4112;0;4112;1;4106;0;4106;0;4106;0;2171;1;990;0.22;989;0.3656;
1038;57433;1038;2604;1002;1002;1037;5.964;1038;140;5109;0;5109;0;5109;0;5197;1;2190;1;1087;28.4;1087;68.9;1103;129.06;1001;26.7;1771;60.000;1771;25.000;1771;34.000;1052;24;1052;24;1002;11.5;1453;247.996;1140;0.00;5107;0;5107;0;5107;0;1038;193.1;1170;0.0;100;0.3;1420;0.2;100;1304;1037;24;1037;0;1038;3;5193;0;5107;1;1492;30.0;1151;0;5107;0;1420;1300;5114;0;2190;0;1087;26.2;1052;22;1088;27.2;1003;23.9;1001;29.7;1003;49.6;1090;23.1;1091;25.5;1091;25.1;1088;27.7;1052;34;1137;119;1137;123;1137;121;1138;123;1051;133;1051;130;1039;23.1;1189;21.4;1002;22;5114;0;5114;1;5107;0;5107;0;5107;0;2190;1;1190;0.22;1190;0.3656;
1238;57424;1237;2631;1201;1002;1237;5.964;1239;131;6111;0;6111;0;6111;0;6199;1;3173;1;1287;28.4;1287;69.0;1302;132.61;1203;26.7;2071;60.000;2071;25.000;2071;34.000;1252;24;1252;24;1202;11.5;1704;252.541;1340;0.00;6110;0;6110;0;6110;0;1238;196.5;1370;0.0;120;0.3;1670;0.2;120;1305;1238;24;1238;0;1239;3;6195;0;6110;1;1742;30.0;1352;0;6110;0;1670;1300;6116;0;3173;0;1288;26.3;1253;22;1288;27.2;1202;23.9;1203;29.7;1203;49.6;1290;23.1;1290;25.5;1290;25.1;1288;27.7;1252;34;1337;119;1338;123;1338;121;1338;122;1252;133;1253;131;1240;23.0;1390;21.4;1202;22;6116;0;6116;1;6110;0;6110;0;6110;0;3173;1;1390;0.22;1390;0.3656;
1438;57360;1439;2631;1402;1002;1437;5.964;1439;112;7111;0;7111;0;7111;0;7200;1;3190;1;1488;28.4;1487;69.0;1502;134.32;1403;26.7;2371;60.000;2371;25.000;2371;34.000;1452;24;1453;24;1402;11.5;1954;256.683;1540;0.00;7111;0;7111;0;7111;0;1438;188.2;1570;0.0;140;0.3;1841;0.2;140;1305;1438;24;1438;0;1439;3;7196;0;7111;1;1992;27.2;1552;0;7111;0;1841;800;7118;0;3190;0;1488;26.3;1453;22;1488;27.2;1403;23.9;1403;29.7;1403;49.6;1490;23.1;1490;25.5;1490;25.1;1488;27.7;1453;34;1538;119;1538;123;1538;120;1538;122;1452;133;1452;131;1440;23.1;1590;21.4;1402;22;7118;0;7118;1;7111;0;7111;0;7111;0;3190;1;1590;0.22;1590;0.3656;
1639;57305;1639;2649;1603;1002;1638;5.964;1639;121;8113;0;8113;0;8113;0;8202;1;4174;1;1688;28.4;1688;68.9;1702;131.51;1603;26.7;2672;60.000;2672;25.000;2672;34.000;1653;24;1653;24;1603;11.4;2205;261.001;1741;0.00;8113;0;8113;0;8113;0;1639;188.1;1771;0.0;160;0.3;1921;0.2;160;1305;1638;24;1638;0;1638;3;8198;0;8113;1;2243;23.0;1752;0;8113;0;1921;800;8119;0;4174;0;1688;26.3;1653;22;1688;27.2;1604;23.9;1602;29.7;1602;49.6;1690;23.1;1691;25.5;1690;25.1;1689;27.7;1653;32;1738;119;1738;123;1738;120;1739;122;1652;133;1652;129;1640;23.1;1790;21.4;1603;22;8119;0;8119;1;8113;0;8113;0;8113;0;4174;1;1791;0.22;1791;0.3656;
1839;57149;1839;2668;1802;1002;1838;5.964;1839;65;9115;0;9115;0;9115;0;9204;1;4192;1;1888;28.4;1888;68.9;1902;133.52;1804;26.7;2972;60.000;2972;25.000;2972;34.000;1853;24;1853;24;1803;11.4;2455;265.109;1941;0.00;9114;0;9114;0;9114;0;1839;192.6;1971;0.0;180;0.3;2171;0.2;180;1305;1840;24;1840;0;1838;3;9199;0;9114;1;2493;18.9;1953;0;9114;0;2171;800;9121;0;4192;0;1889;26.3;1854;22;1889;27.2;1803;23.9;1804;29.7;1804;49.6;1890;23.1;1891;25.5;1891;25.0;1889;27.7;1853;32;1938;119;1938;123;1939;121;1939;123;1852;130;1853;129;1841;23.1;1991;21.4;1803;22;9121;0;9121;1;9114;0;9114;0;9114;0;4192;1;1991;0.22;1991;0.3656;
