Czas [ms];aaaa[°C];Czas [ms];bbbb[-];Czas [ms];Ciś. pow. przed turb.[Pa];Czas [ms];Ciś. pow. za turb.[Pa];Czas [ms];Ciśnienie atmosferyczne[hPa];Czas [ms];Ciśnienie oleju[kPa];Czas [ms];Ciśnienie spalin[Pa];Czas [ms];Dopeł. zb. 1/3[-];Czas [ms];Dopeł. zb. 2/3[-];Czas [ms];Dopeł. zb. 3/3[-];Czas [ms];Dopełnianie[-];Czas [ms];Duży obieg[-];Czas [ms];ECT - wejście do sil.[°C];Czas [ms];ECT - wyjście z sil.[°C];Czas [ms];Główny obieg - przepływ[m³/h];Czas [ms];Główny obieg - temp.[°C];Czas [ms];GPReg_Setpoint0[°C];Czas [ms];GPReg_Setpoint1[°C];Czas [ms];GPReg_Setpoint2[°C];Czas [ms];Hamulec, lewa komora, temp.[°C];Czas [ms];Hamulec, prawa komora, temp.[°C];Czas [ms];Hamulec, przepływ wody[m³/h];Czas [ms];Ilość paliwa w zbiorniku[g];Czas [ms];Kanał_Statyczny1[-];Czas [ms];Kond. - przepływ wody[l/min];Czas [ms];Kontrolka zb. 1/3 [-];Czas [ms];Kontrolka zb. 2/3 [-];Czas [ms];Kontrolka zb. 3/3 [-];Czas [ms];MAF[kg/h];Czas [ms];Moc[kW];Czas [ms];Moment obrotowy[Nm];Czas [ms];Moment Tryb3[Nm];Czas [ms];Obroty[obr/min];Czas [ms];Poz. paliwa zb. 1/3[mm];Czas [ms];Poz. paliwa zb. 2/3[mm];Czas [ms];Poz. paliwa zb. 3/3[mm];Czas [ms];Przekaź. pompy paliwa[-];Czas [ms];Przekaźnik zapłonu[-];Czas [ms];Przepustnica[%];Czas [ms];Przepustnica Tryb0[%];Czas [ms];Przyklad[bar];Czas [ms];PWM Tryb0[%];Czas [ms];Rozrusznik[-];Czas [ms];RPM Tryb3[obr/min];Czas [ms];Starter[-];Czas [ms];Stycz. chłodni went.[-];Czas [ms];Temp. oleju przed wym.[°C];Czas [ms];Temp. oleju w misce[°C];Czas [ms];Temp. oleju za wym.[°C];Czas [ms];Temp. otoczenia[°C];Czas [ms];Temp. pal. na wejściu sil.[°C];Czas [ms];Temp. pal. na wyjściu sil.[°C];Czas [ms];Temp. paliwa w zb. 1/3[°C];Czas [ms];Temp. paliwa w zb. 2/3[°C];Czas [ms];Temp. paliwa w zb. 3/3[°C];Czas [ms];Temp. powietrza przed turb.[°C];Czas [ms];Temp. powietrza za turb.[°C];Czas [ms];Temp. spalin 1/6[°C];Czas [ms];Temp. spalin 2/6[°C];Czas [ms];Temp. spalin 3/6[°C];Czas [ms];Temp. spalin 4/6[°C];Czas [ms];Temp. spalin 5/6[°C];Czas [ms];Temp. spalin 6/6[°C];Czas [ms];Temp.pal.na wyjściu[°C];Czas [ms];Temp.paliwa żądana[°C];Czas [ms];Wilgotność względna[%];Czas [ms];Wyłącznik bezpieczeństwa[-];Czas [ms];Zapłon[-];Czas [ms];Zaw. zb. paliwa 1/3[-];Czas [ms];Zaw. zb. paliwa 2/3[-];Czas [ms];Zaw. zb. paliwa 3/3[-];Czas [ms];Zawór reg. chł. cieczy[-];Czas [ms];Zużycie paliwa bieżące[g/s];Czas [ms];Zużycie paliwa średnie[g/s];
4;12.5;556;0;165;-378;165;-315;21;1004;165;3.5;166;-186;522;0;522;0;522;0;556;0;515;0;15;17;14;32;122;139.62;22;19;209;60.000;209;26.000;209;30.000;104;16;154;16;54;11.6;225;284.8223;810;0;104;0.00;522;0;522;0;522;0;165;0.0;9;0.0;0;-1.2;28793;0.3;0;0;166;57;166;2;166;80;515;0;522;1;120;0.0;59;0.0;171;0;59;0.0;522;0;28793;803;321;0;515;0;15;12;73;40;15;11;21;10.7;22;16;21;22;54;16;54;16;54;15;15;15;72;21;65;59;65;65;65;64;65;58;72;0;72;0;4;19.4;154;30.5;21;54;321;0;321;1;522;0;522;0;522;0;515;0;154;0.0000;154;0.00;
204;12.5;1557;0;366;-387;365;-352;221;1004;365;3.5;367;-149;1523;0;1523;0;1523;0;1556;0;810;0;215;17;215;32;321;137.38;222;19;509;60.000;509;26.000;509;30.000;304;16;354;16;254;11.6;475;284.7061;1811;0;304;0.00;1523;0;1523;0;1523;0;366;0.0;109;0.0;20;-1.2;28793;0.3;20;0;366;57;366;2;366;80;1517;0;1523;1;370;0.0;59;0.0;371;0;59;0.0;1523;0;28793;803;1323;0;810;0;215;12;272;40;215;11;222;10.7;222;16;222;22;254;16;254;16;255;15;216;15;272;21;265;59;265;65;265;64;266;58;271;0;272;0;204;19.4;354;30.5;221;54;1323;0;1323;1;1523;0;1523;0;1523;0;810;0;354;0.0084;355;0.00;
405;12.5;2559;0;566;-387;566;-352;421;1004;565;3.5;567;-149;2525;0;2525;0;2525;0;2558;0;1517;0;415;17;415;32;522;132.38;423;19;810;60.000;810;26.000;810;30.000;504;16;554;16;454;11.6;726;284.8172;2813;0;505;0.00;2525;0;2525;0;2525;0;566;0.0;209;0.0;40;-1.2;28850;0.3;40;0;566;57;567;2;567;80;2518;0;2525;1;620;0.0;309;0.0;572;0;309;0.0;2525;0;28850;803;2325;0;1517;0;416;12;472;40;416;11;422;10.7;422;16;422;22;454;16;455;16;455;15;416;15;472;21;465;57;466;66;465;67;466;61;472;0;472;0;405;19.4;555;30.5;422;54;2325;0;2325;1;2525;0;2525;0;2525;0;1517;0;555;0.0000;555;0.00;
605;12.5;3559;0;766;-405;766;-324;622;1004;766;3.6;767;-149;3526;0;3526;0;3526;0;3560;0;1811;0;616;17;615;32;722;132.89;622;19;1110;60.000;1110;26.000;1110;30.000;705;16;755;16;654;11.6;976;284.8970;3814;0;705;0.00;3526;0;3526;0;3526;0;766;0.0;309;0.0;60;-1.2;28850;0.3;60;0;767;57;767;2;767;80;3520;0;3526;1;871;0.0;309;0.0;772;0;309;0.0;3526;0;28850;803;3327;0;1811;0;616;12;673;40;616;11;622;10.7;623;16;623;22;655;16;655;16;655;15;616;15;672;22;666;57;666;66;666;65;666;60;672;0;672;0;605;19.4;755;30.5;622;54;3327;0;3327;1;3526;0;3526;0;3526;0;1811;0;755;0.0000;755;0.00;
805;12.5;4561;0;966;-368;966;-324;822;1004;966;3.5;968;-205;4528;0;4528;0;4528;0;4562;0;2518;0;816;17;816;32;922;136.55;823;19;1410;60.000;1410;26.000;1410;30.000;905;16;955;16;855;11.6;1227;284.8370;4816;0;905;0.00;4528;0;4528;0;4528;0;967;0.0;409;0.0;80;-1.2;29100;0.3;80;0;967;57;967;2;967;80;4521;0;4528;1;1121;0.0;559;0.0;972;0;559;0.0;4528;0;29100;803;4328;0;2518;0;816;12;873;40;816;11;822;10.7;823;16;823;22;855;16;855;16;855;15;817;15;873;22;866;57;866;66;866;65;867;60;872;0;872;0;805;19.3;955;30.5;822;54;4328;0;4328;1;4528;0;4528;0;4528;0;2518;0;955;0.0000;956;0.00;
1005;12.5;5563;0;1167;-387;1167;-315;1022;1004;1166;3.5;1168;-224;5530;0;5530;0;5530;0;5563;0;2813;0;1016;17;1016;32;1123;140.68;1023;19;1711;60.000;1711;26.000;1711;30.000;1105;16;1155;16;1055;11.6;1477;284.7912;5817;0;1106;0.00;5529;0;5529;0;5529;0;1167;0.0;509;0.0;100;-1.2;29100;0.3;100;0;1167;57;1167;2;1168;80;5523;0;5529;1;1371;0.0;559;0.0;1173;0;559;0.0;5529;0;29100;803;5330;0;2813;0;1016;12;1073;40;1017;11;1023;10.7;1023;16;1023;22;1055;16;1056;16;1056;15;1017;15;1073;22;1066;59;1067;66;1066;65;1067;60;1073;0;1073;0;1006;19.3;1155;30.5;1023;54;5330;0;5330;1;5529;0;5529;0;5529;0;2813;0;1156;0.0000;1156;0.00;
1206;12.5;6566;0;1367;-396;1367;-297;1223;1004;1367;3.5;1368;-233;6531;0;6531;0;6531;0;6566;0;3520;0;1218;17;1217;32;1323;138.65;1224;19;2011;60.000;2011;26.000;2011;30.000;1305;16;1355;16;1255;11.6;1727;284.8383;6819;0;1306;0.00;6531;0;6531;0;6531;0;1367;0.0;609;0.0;120;-1.2;29350;0.3;120;0;1368;57;1368;2;1368;80;6524;0;6531;1;1622;0.0;810;0.0;1373;0;810;0.0;6531;0;29350;803;6332;0;3520;0;1218;12;1274;40;1218;11;1223;10.7;1224;16;1223;22;1256;16;1256;16;1256;15;1218;15;1273;22;1266;57;1267;64;1267;65;1267;59;1273;0;1273;0;1206;19.3;1356;30.5;1223;54;6332;0;6332;1;6531;0;6531;0;6531;0;3520;0;1356;0.0000;1356;0.00;
1406;12.5;7566;0;1567;-396;1567;-279;1423;1004;1567;3.5;1569;-242;7533;0;7533;0;7533;0;7567;0;3814;0;1417;17;1417;32;1524;130.49;1424;19;2312;60.000;2312;26.000;2312;30.000;1506;16;1556;16;1456;11.6;1978;284.8882;7820;0;1506;0.00;7532;0;7532;0;7532;0;1568;0.0;710;0.0;140;-1.2;29350;0.3;140;0;1568;57;1568;2;1568;80;7526;0;7532;1;1872;0.0;810;0.0;1574;0;810;0.0;7532;0;29350;803;7333;0;3814;0;1417;12;1474;40;1417;11;1423;10.7;1424;16;1424;22;1456;16;1456;16;1456;15;1418;15;1474;22;1467;58;1467;65;1467;64;1467;58;1473;0;1473;0;1406;19.3;1556;30.5;1423;54;7333;0;7333;1;7532;0;7532;0;7532;0;3814;0;1557;0.0000;1557;0.00;
1606;12.5;8568;0;1768;-405;1767;-297;1624;1004;1767;3.5;1769;-233;8534;0;8534;0;8534;0;8568;0;4521;0;1617;17;1617;32;1723;131.18;1625;19;2612;60.000;2612;26.000;2612;30.000;1706;16;1756;16;1656;11.6;2228;284.8745;8821;0;1707;0.00;8534;0;8534;0;8534;0;1768;0.0;810;0.0;160;-1.2;29601;0.3;160;0;1768;57;1768;2;1769;80;8528;0;8534;1;2123;0.0;1060;0.0;1774;0;1060;0.0;8534;0;29601;803;8335;0;4521;0;1617;12;1674;40;1618;11;1625;10.7;1625;16;1625;22;1656;16;1656;16;1657;15;1618;15;1674;22;1667;58;1667;64;1668;65;1668;59;1673;0;1674;0;1607;19.3;1756;30.5;1624;54;8335;0;8335;1;8534;0;8534;0;8534;0;4521;0;1757;0.0000;1757;0.00;
1807;12.5;9569;0;1968;-414;1968;-315;1824;1004;1968;3.6;1969;-289;9536;0;9536;0;9536;0;9570;0;4815;0;1817;17;1817;32;1924;136.41;1825;19;2913;60.000;2913;26.000;2913;30.000;1906;16;1956;16;1856;11.6;2478;284.8485;9823;0;1907;0.00;9535;0;9535;0;9535;0;1968;0.0;910;0.0;180;-1.2;29601;0.3;180;0;1968;57;1969;2;1969;80;9529;0;9535;1;2373;0.0;1060;0.0;1974;0;1060;0.0;9535;0;29601;803;9337;0;4815;0;1818;12;1874;40;1818;11;1824;10.7;1824;16;1824;22;1857;16;1857;16;1857;15;1818;15;1874;22;1868;58;1868;64;1868;65;1868;59;1874;0;1874;0;1807;19.3;1957;30.5;1824;54;9337;0;9337;1;9535;0;9535;0;9535;0;4815;0;1957;0.0000;1957;0.00;
