Czas [ms];Obroty[obr/min];
5;0;
25;0;
45;0;
66;0;
85;0;
105;0;
126;0;
146;1;
166;1;
186;1;
206;2;
226;2;
246;2;
266;2;
286;3;
306;3;
326;3;
346;3;
366;3;
386;3;
406;3;
426;3;
446;3;
466;3;
486;3;
506;3;
526;3;
546;3;
566;3;
586;3;
606;15;
626;27;
646;40;
667;53;
686;66;
706;79;
726;92;
747;105;
766;119;
786;133;
806;135;
827;137;
847;138;
867;140;
887;142;
907;144;
927;146;
947;148;
967;150;
987;151;
1007;153;
1027;155;
1047;156;
1067;158;
1087;159;
1107;160;
1127;161;
1147;162;
1167;163;
1187;164;
1207;165;
1227;165;
1247;166;
1267;168;
1287;169;
1307;172;
1327;175;
1347;181;
1367;190;
1387;200;
1407;220;
1427;242;
1448;267;
1467;296;
1487;329;
1507;365;
1528;403;
1548;444;
1568;485;
1588;527;
1608;565;
1628;604;
1648;644;
1668;682;
1688;719;
1708;756;
1728;792;
1748;824;
1768;854;
1788;881;
1808;903;
1828;921;
1848;934;
1868;942;
1888;947;
1908;947;
1928;945;
1948;940;
1968;933;
1988;925;
2008;917;
2028;909;
2048;901;
2068;894;
2088;887;
2108;881;
2128;875;
2148;870;
2168;865;
2188;861;
2209;857;
2229;854;
2249;850;
2269;846;
2289;842;
2309;838;
2329;833;
2349;829;
2369;825;
2389;821;
2409;817;
2429;813;
2449;810;
2469;807;
2489;804;
2509;801;
2529;798;
2549;796;
2569;793;
2589;791;
2609;789;
2629;787;
2649;786;
2669;784;
2689;783;
2709;782;
2729;781;
2750;780;
2769;779;
2789;779;
2809;779;
2829;779;
2850;779;
2870;780;
2889;780;
2910;781;
2930;781;
2950;782;
2970;783;
2990;784;
3010;785;
3030;786;
3050;787;
3070;788;
3090;789;
3110;790;
3130;791;
3150;792;
3170;793;
3190;794;
3210;795;
3230;796;
3250;797;
3270;798;
3290;799;
3310;800;
3330;801;
3350;801;
3370;802;
3390;803;
3410;804;
3430;805;
3450;805;
3470;806;
3490;807;
3510;807;
3530;808;
3550;809;
3571;809;
3590;810;
3611;810;
3631;811;
3651;811;
3671;811;
3691;811;
3711;811;
3731;811;
3751;811;
3771;810;
3791;810;
3811;809;
3831;809;
3851;808;
3871;808;
3891;807;
3911;806;
3931;805;
3951;805;
3971;804;
3991;803;
4011;802;
4031;801;
4051;801;
4071;800;
4091;799;
4111;799;
4131;798;
4151;798;
4171;797;
4191;797;
4211;796;
4231;796;
4252;796;
4272;795;
4292;795;
4312;795;
4332;795;
4352;794;
4372;794;
4392;794;
4412;794;
4432;794;
4452;794;
4472;794;
4492;794;
4512;794;
4532;794;
4552;795;
4572;795;
4592;795;
4612;796;
4632;796;
4652;797;
4672;797;
4692;798;
4712;798;
4732;798;
4752;799;
4772;800;
4792;800;
4812;801;
4832;801;
4852;801;
4873;802;
4892;802;
4912;802;
4932;803;
4953;803;
4973;803;
4993;803;
5013;803;
5033;803;
5053;804;
5073;804;
5093;804;
5113;804;
5133;804;
5153;804;
5173;803;
5193;803;
5213;803;
5233;803;
5253;803;
5273;803;
5293;802;
5313;802;
5333;802;
5353;802;
5373;802;
5393;801;
5413;801;
5433;801;
5453;801;
5473;801;
5493;801;
5513;801;
5533;801;
5553;801;
5574;801;
5593;801;
5613;801;
5633;801;
5654;801;
5674;801;
5694;801;
5714;800;
5734;800;
5754;800;
5774;800;
5794;800;
5814;800;
5834;800;
5854;800;
5874;800;
5894;800;
5914;800;
5934;800;
5954;800;
5974;800;
5994;800;
6014;800;
6034;800;
6054;799;
6074;799;
6094;800;
6114;800;
6134;800;
6154;800;
6174;800;
6194;800;
6214;800;
6234;800;
6254;800;
6274;800;
6294;801;
6314;801;
6334;801;
6355;801;
6375;801;
6395;801;
6415;801;
6435;801;
6455;801;
6475;801;
6495;801;
6515;801;
6535;801;
6555;801;
6575;801;
6595;802;
6615;802;
6635;801;
6655;801;
6675;801;
6695;801;
6715;801;
6735;801;
6755;801;
6775;801;
6795;801;
6815;801;
6835;801;
6855;801;
6875;801;
6895;801;
6915;801;
6935;801;
6956;801;
6976;801;
6995;801;
7015;801;
7035;801;
7055;801;
7076;801;
7096;801;
7116;801;
7136;801;
7156;800;
7176;800;
7196;800;
7216;800;
7236;800;
7256;800;
7276;800;
7296;800;
7316;800;
7336;800;
7356;800;
7376;800;
7396;800;
7416;800;
7436;800;
7456;800;
7476;800;
7496;800;
7516;801;
7536;801;
7556;801;
7576;801;
7596;801;
7616;801;
7636;801;
7656;801;
7677;801;
7696;800;
7716;800;
7736;800;
7757;800;
7777;800;
7797;801;
7817;801;
7837;801;
7857;801;
7877;801;
7897;801;
7917;801;
7937;801;
7957;801;
7977;801;
7997;801;
8017;801;
8037;801;
8057;801;
8077;801;
8097;801;
8117;801;
8137;801;
8157;801;
8177;801;
8197;801;
8217;801;
8237;801;
8257;801;
8277;801;
8297;801;
8317;801;
8337;801;
8358;801;
8377;801;
8397;801;
8417;801;
8437;801;
8458;801;
8478;801;
8498;801;
8518;801;
8538;801;
8558;801;
8578;801;
8598;801;
8618;800;
8638;800;
8658;800;
8678;800;
8698;800;
8718;800;
8738;800;
8758;800;
8778;800;
8798;800;
8818;801;
8838;801;
8858;801;
8878;801;
8898;801;
8918;801;
8938;801;
8958;801;
8978;801;
8998;801;
9018;801;
9038;801;
9059;801;
9079;801;
9098;801;
9118;801;
9139;800;
9159;800;
9179;800;
9199;800;
9219;800;
9239;800;
9259;800;
9279;800;
9299;800;
9319;800;
9339;800;
9359;800;
9379;800;
9399;800;
9419;800;
9439;800;
9459;800;
9479;800;
9499;800;
9519;800;
9539;800;
9559;800;
9579;800;
9599;800;
9619;800;
9639;800;
9659;800;
9679;800;
9699;800;
9719;800;
9739;800;
9759;801;
9780;801;
9799;801;
9819;801;
9840;801;
9860;801;
9880;801;
9900;801;
9920;801;
9940;801;
9960;801;
9980;801;
10000;801;
10020;801;
10040;801;
10060;801;
10080;801;
10100;800;
10120;800;
10140;800;
10160;800;
10180;800;
10200;801;
10220;801;
10240;801;
10260;801;
10280;801;
10300;801;
10320;801;
10340;801;
10360;801;
10380;801;
10400;801;
10420;801;
10440;801;
10460;801;
10480;801;
10500;801;
10521;801;
10541;801;
10561;801;
10581;801;
10601;801;
10621;801;
10641;801;
10661;801;
10681;801;
10701;801;
10721;801;
10741;800;
10761;800;
10781;800;
10801;800;
10821;800;
10841;800;
10861;800;
10881;800;
10901;800;
10921;800;
10941;800;
10961;800;
10981;800;
11001;800;
11021;799;
11041;799;
11061;800;
11081;800;
11101;800;
11121;800;
11141;800;
11162;800;
11181;800;
11201;800;
11222;800;
11242;800;
11262;800;
11282;800;
11302;800;
11322;800;
11342;801;
11362;801;
11382;801;
11402;801;
11422;801;
11442;801;
11462;801;
11482;801;
11502;801;
11522;801;
11542;801;
11562;801;
11582;801;
11602;801;
11622;801;
11642;801;
11662;801;
11682;801;
11702;801;
11722;801;
11742;801;
11762;801;
11782;801;
11802;801;
11822;801;
11842;801;
11863;801;
11882;801;
11903;801;
11923;801;
11943;801;
11963;801;
11983;801;
12003;801;
12023;801;
12043;801;
12063;801;
12083;801;
12103;801;
12123;801;
12143;801;
12163;801;
12183;801;
12203;801;
12223;801;
12243;801;
12263;801;
12283;801;
12303;801;
12323;801;
12343;801;
12363;801;
12383;801;
12403;801;
12423;801;
12443;801;
12463;801;
12483;800;
12503;800;
12523;800;
12543;800;
12563;800;
12583;801;
12604;801;
12624;801;
12644;801;
12664;800;
12684;800;
12704;800;
12724;801;
12744;801;
12764;801;
12784;801;
12804;800;
12824;800;
12844;800;
12864;800;
12884;800;
12904;801;
12924;800;
12944;800;
12964;800;
12984;800;
13004;800;
13024;800;
13044;800;
13064;800;
13084;800;
13104;800;
13124;800;
13144;800;
13164;800;
13184;800;
13204;801;
13224;801;
13244;802;
13265;804;
13285;806;
13305;809;
13325;812;
13345;816;
13365;822;
13385;828;
13405;835;
13425;843;
13445;851;
13465;861;
13485;870;
13505;881;
13525;891;
13545;903;
13565;914;
13585;926;
13605;937;
13625;949;
13645;960;
13665;972;
13685;983;
13705;995;
13725;1006;
13745;1018;
13765;1029;
13785;1041;
13805;1052;
13825;1063;
13845;1075;
13865;1085;
13885;1096;
13905;1107;
13925;1117;
13945;1128;
13965;1137;
13986;1147;
14006;1156;
14026;1165;
14046;1173;
14066;1181;
14086;1189;
14106;1196;
14126;1202;
14146;1209;
14166;1214;
14186;1220;
14206;1225;
14226;1230;
14246;1234;
14266;1238;
14286;1242;
14306;1246;
14326;1249;
14346;1252;
14366;1255;
14386;1258;
14406;1261;
14426;1264;
14446;1267;
14466;1269;
14486;1272;
14506;1275;
14526;1277;
14546;1280;
14567;1282;
14586;1285;
14606;1288;
14626;1290;
14646;1292;
14667;1295;
14687;1297;
14707;1300;
14727;1302;
14747;1304;
14767;1307;
14787;1310;
14807;1312;
14827;1314;
14847;1317;
14867;1320;
14887;1322;
14907;1325;
14927;1327;
14947;1330;
14967;1333;
14987;1335;
15007;1337;
15027;1340;
15047;1343;
15067;1345;
15087;1348;
15107;1351;
15127;1353;
15147;1356;
15167;1358;
15187;1361;
15207;1364;
15227;1366;
15247;1369;
15268;1371;
15287;1374;
15307;1376;
15327;1379;
15347;1381;
15368;1384;
15388;1386;
15408;1389;
15428;1391;
15448;1393;
15468;1396;
15488;1398;
15508;1400;
15528;1402;
15548;1405;
15568;1407;
15588;1409;
15608;1411;
15628;1413;
15648;1415;
15668;1417;
15688;1420;
15708;1421;
15728;1423;
15748;1425;
15768;1427;
15788;1429;
15808;1430;
15828;1432;
15848;1433;
15868;1435;
15888;1436;
15908;1437;
15928;1438;
15948;1439;
15968;1440;
15988;1441;
16008;1442;
16028;1443;
16048;1444;
16069;1444;
16089;1445;
16109;1446;
16129;1447;
16149;1448;
16169;1448;
16189;1449;
16209;1450;
16229;1450;
16249;1451;
16269;1452;
16289;1452;
16309;1452;
16329;1453;
16349;1454;
16369;1454;
16389;1454;
16409;1455;
16429;1455;
16449;1456;
16469;1455;
16489;1456;
16509;1457;
16529;1457;
16549;1457;
16569;1458;
16589;1459;
16609;1459;
16629;1459;
16649;1460;
16669;1461;
16689;1462;
16709;1462;
16729;1462;
16750;1463;
16770;1464;
16790;1464;
16810;1465;
16830;1466;
16850;1466;
16870;1467;
16890;1467;
16910;1468;
16930;1469;
16950;1469;
16970;1469;
16990;1470;
17010;1470;
17030;1471;
17050;1471;
17070;1471;
17090;1471;
17110;1471;
17130;1471;
17150;1471;
17170;1472;
17190;1472;
17210;1472;
17230;1472;
17250;1472;
17271;1473;
17290;1473;
17310;1473;
17330;1473;
17350;1474;
17370;1474;
17390;1474;
17410;1474;
17430;1475;
17451;1475;
17471;1475;
17491;1476;
17511;1476;
17531;1477;
17551;1477;
17571;1478;
17591;1479;
17611;1480;
17631;1480;
17651;1481;
17671;1481;
17691;1482;
17711;1482;
17731;1483;
17751;1483;
17771;1484;
17791;1484;
17811;1484;
17831;1485;
17851;1486;
17871;1486;
17891;1486;
17911;1487;
17931;1487;
17951;1488;
17971;1488;
17991;1489;
18011;1489;
18031;1489;
18051;1490;
18071;1490;
18091;1491;
18111;1491;
18131;1492;
18152;1493;
18172;1493;
18192;1494;
18212;1494;
18232;1495;
18252;1495;
18272;1496;
18292;1496;
18312;1496;
18332;1497;
18352;1497;
18372;1497;
18392;1498;
18412;1498;
18432;1499;
18452;1499;
18472;1499;
18492;1499;
18512;1499;
18532;1499;
18552;1500;
18572;1500;
18592;1500;
18612;1500;
18632;1500;
18652;1500;
18672;1500;
18692;1500;
18712;1499;
18732;1499;
18752;1499;
18773;1499;
18792;1499;
18812;1499;
18833;1499;
18853;1499;
18873;1499;
18893;1499;
18913;1499;
18933;1499;
18953;1499;
18973;1499;
18993;1498;
19013;1498;
19033;1498;
19053;1498;
19073;1498;
19093;1498;
19113;1497;
19133;1497;
19153;1497;
19173;1497;
19193;1497;
19213;1497;
19233;1496;
19253;1496;
19273;1496;
19293;1496;
19313;1496;
19333;1496;
19353;1496;
19373;1496;
19393;1496;
19413;1496;
19433;1496;
19453;1496;
19473;1496;
19493;1496;
19514;1496;
19534;1496;
19554;1496;
19574;1496;
19594;1496;
19614;1496;
19634;1495;
